start_time,origin,destination,kind,origin_real_id,dest_real_id,origin_x,origin_y,dest_x,dest_y,cluster
5,0,0,Human,315358244,-25149001#4,212975.4675,453432.9725,212672.595,451274.97,3
5,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,3
11,2,2,Human,24608844,32978638#0,213600.045,452309.8,213633.66,451984.92,3
11,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42,3
11,3,3,Human,315358250#0,386687235,213010.6175,453383.065,213478.36,452435.42,3
12,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
13,4,4,Human,-306240162#1,399835085#1,211638.505,452888.985,212001.44,453157.175,0
15,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
17,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
25,5,2,Human,201201950#1,32978638#0,212938.88,452449.41,213633.66,451984.92,3
26,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
28,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
30,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42,3
31,6,5,Human,201201953#4,-266565295#5,212565.76,452330.09,213811.85,452244.51,3
33,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,3
37,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
39,7,6,Human,272042143,24634414#1,213484.675,452457.545,213210.56,452282.365,5
55,8,7,Human,266565295#5,-24634415,213807.23,452252.93,213265.68,452105.8000000001,5
56,9,8,Human,22716069#0,24634517#13,212648.485,451697.03,212403.965,451889.175,3
57,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43,3
57,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,3
58,10,5,Human,24634507,-266565295#5,212909.515,451808.915,213811.85,452244.51,3
60,11,4,Human,128361109#1,399835085#1,211442.47,452097.55,212001.44,453157.175,0
61,7,9,Human,272042143,201238729#3,213484.675,452457.545,211438.31,452110.43,3
69,12,10,Human,315358242#0,306240162#0,213272.11,452897.16,211642.94,452890.83,3
72,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,8
