id,origin,destination,start_time,kind
0,0,0,517,Human
1,1,1,628,Human
2,2,2,1150,Human
3,3,3,167,Human
4,4,4,1344,Human
5,5,5,1580,Human
6,6,6,491,Human
7,7,7,1151,Human
8,8,8,833,Human
9,9,9,327,Human
10,10,10,734,Human
11,11,11,1634,Human
12,12,12,1152,Human
13,13,5,816,Human
14,14,13,383,Human
15,15,14,1466,Human
16,16,15,1722,Human
17,17,16,466,Human
18,18,17,1668,Human
19,19,18,497,Human
20,20,19,520,Human
21,21,20,1720,Human
22,0,21,514,Human
23,22,22,1769,Human
24,23,23,973,Human
25,24,24,117,Human
26,8,25,161,Human
27,25,26,370,Human
28,26,27,622,Human
29,27,28,1282,Human
30,28,29,596,Human
31,29,0,1515,Human
32,30,30,1608,Human
33,31,31,1602,Human
34,32,32,1192,Human
35,31,33,1725,Human
36,33,34,358,Human
37,33,35,1076,Human
38,34,36,2,Human
39,3,37,10,Human
40,35,38,431,Human
41,6,39,416,Human
42,36,40,152,Human
43,37,20,1532,Human
44,38,41,856,Human
45,30,42,39,Human
46,39,25,639,Human
47,1,43,620,Human
48,39,44,891,Human
49,40,45,151,Human
50,41,17,746,Human
51,42,46,1779,Human
52,43,47,701,Human
53,44,48,755,Human
54,23,49,1501,Human
55,45,50,1609,Human
56,46,51,1256,Human
57,30,46,1324,Human
58,47,52,76,Human
59,48,17,57,Human
60,49,10,703,Human
61,50,0,1273,Human
62,51,48,1521,Human
63,9,53,767,Human
64,47,54,348,Human
65,52,55,423,Human
66,9,18,32,Human
67,53,5,1748,Human
68,49,56,307,Human
69,54,57,1087,Human
70,55,47,337,Human
71,56,47,1204,Human
72,57,58,762,Human
73,8,19,331,Human
74,14,51,814,Human
75,58,31,649,Human
76,59,59,478,Human
77,60,60,681,Human
78,61,61,1754,Human
79,62,62,1092,Human
80,63,46,922,Human
81,64,5,296,Human
82,40,63,761,Human
83,65,64,1057,Human
84,66,65,1385,Human
85,67,28,1406,Human
86,68,66,1002,Human
87,69,7,570,Human
88,70,14,647,Human
89,71,46,323,Human
90,72,67,140,Human
91,73,68,1249,Human
92,74,69,499,Human
93,75,70,237,Human
94,76,0,1096,Human
95,30,71,1647,Human
96,49,71,680,Human
97,77,57,1580,Human
98,50,72,347,Human
99,78,36,820,Human
100,14,73,442,Human
101,11,45,1772,Human
102,79,39,1374,Human
103,80,74,810,Human
104,50,75,876,Human
105,81,39,486,Human
106,82,36,931,Human
107,83,76,446,Human
108,84,10,289,Human
109,85,71,650,Human
110,86,0,653,Human
111,87,29,290,Human
112,46,76,548,Human
113,88,9,1365,Human
114,89,0,756,Human
115,90,22,183,Human
116,91,22,1723,Human
117,53,38,1066,Human
118,92,77,1217,Human
119,33,78,1562,Human
120,8,79,1043,Human
121,93,80,509,Human
122,0,81,1624,Human
123,94,32,1251,Human
124,33,63,442,Human
125,46,82,1410,Human
126,95,71,1227,Human
127,33,22,249,Human
128,94,0,466,Human
129,50,19,731,Human
130,96,63,1135,Human
131,50,22,760,Human
132,97,61,1660,Human
133,33,10,1492,Human
134,94,54,534,Human
135,45,0,1134,Human
136,23,83,144,Human
137,2,29,10,Human
138,98,84,373,Human
139,80,0,1753,Human
140,80,0,1093,Human
141,26,85,890,Human
142,80,29,744,Human
143,80,29,613,Human
144,97,45,603,Human
145,50,19,747,Human
146,99,85,627,Human
147,23,2,1205,Human
148,100,86,444,Human
149,101,87,10,Human
150,9,26,486,Human
151,68,88,1266,Human
152,9,72,236,Human
153,7,68,1292,Human
154,82,10,1239,Human
155,54,5,5,Human
156,82,56,905,Human
157,102,89,1530,Human
158,6,90,883,Human
159,82,91,1227,Human
160,82,6,1318,Human
161,64,19,1293,Human
162,50,55,1079,Human
163,23,14,913,Human
164,103,10,1077,Human
165,68,92,1323,Human
166,54,19,93,Human
167,47,93,507,Human
168,7,66,1740,Human
169,100,0,121,Human
170,28,94,528,Human
171,27,24,271,Human
172,89,41,552,Human
173,104,48,1316,Human
174,104,48,708,Human
175,105,77,1037,Human
176,106,46,1329,Human
177,107,65,1148,Human
178,33,26,1493,Human
179,62,22,945,Human
180,1,14,523,Human
181,108,25,903,Human
182,97,95,1349,Human
183,109,96,30,Human
184,110,97,1783,Human
185,67,0,278,Human
186,46,98,1178,Human
187,30,22,499,Human
188,100,77,367,Human
189,111,54,270,Human
190,57,99,596,Human
191,112,100,1519,Human
192,113,0,47,Human
193,33,101,697,Human
194,50,55,605,Human
195,114,93,1579,Human
196,115,17,185,Human
197,59,25,57,Human
198,59,25,306,Human
199,17,32,752,Human
200,116,33,782,Human
201,117,96,399,Human
202,43,102,1469,Human
203,118,103,65,Human
204,119,32,1538,Human
205,120,104,1179,Human
206,38,105,1752,Human
207,15,14,96,Human
