id,origin,destination,start_time,kind
0,0,0,203,Human
1,1,1,1217,Human
2,2,2,65,Human
3,3,3,1507,Human
4,4,4,1754,Human
5,5,5,1751,Human
6,6,5,1090,Human
7,7,6,66,Human
8,8,7,371,Human
9,9,8,546,Human
10,10,9,1290,Human
11,11,3,1242,Human
12,12,10,582,Human
13,13,11,1223,Human
14,14,10,1298,Human
15,15,3,1214,Human
16,16,12,640,Human
17,17,13,1337,Human
18,18,14,1398,Human
19,19,15,1002,Human
20,20,16,158,Human
21,21,17,867,Human
22,22,18,915,Human
23,8,19,2,Human
24,23,20,774,Human
25,24,21,1367,Human
26,25,22,190,Human
27,13,23,1090,Human
28,26,24,446,Human
29,27,25,330,Human
30,28,26,717,Human
31,29,27,1595,Human
32,30,28,952,Human
33,31,18,109,Human
34,32,10,217,Human
35,33,29,1515,Human
36,4,30,899,Human
37,34,31,1162,Human
38,35,32,35,Human
39,36,33,175,Human
40,37,34,1003,Human
41,38,35,385,Human
42,39,36,1412,Human
43,40,37,828,Human
44,41,38,1713,Human
45,42,39,418,Human
46,43,40,133,Human
47,44,41,1392,Human
48,45,42,1395,Human
49,46,3,1242,Human
50,47,43,10,Human
51,48,44,1165,Human
52,49,3,1301,Human
53,50,45,485,Human
54,51,17,319,Human
55,52,46,211,Human
56,53,26,458,Human
57,54,47,221,Human
58,55,48,1005,Human
59,56,29,396,Human
60,57,49,205,Human
61,58,50,1331,Human
62,40,51,786,Human
63,59,52,1154,Human
64,60,53,1186,Human
65,61,18,1204,Human
66,62,54,419,Human
67,63,55,657,Human
68,64,56,199,Human
69,65,57,841,Human
70,66,58,594,Human
71,3,59,621,Human
72,67,60,453,Human
73,68,61,71,Human
74,69,62,825,Human
75,70,63,405,Human
76,56,64,727,Human
77,71,65,470,Human
78,72,66,1128,Human
79,14,67,1316,Human
80,73,54,1155,Human
81,74,21,78,Human
82,75,43,955,Human
83,76,26,1243,Human
84,77,68,227,Human
85,78,69,573,Human
86,79,70,274,Human
87,80,13,1288,Human
88,81,56,1185,Human
89,42,71,1405,Human
90,82,72,1220,Human
91,83,73,157,Human
92,84,74,501,Human
93,85,75,1480,Human
94,86,1,1723,Human
95,67,76,1,Human
96,85,77,281,Human
97,87,76,35,Human
98,88,78,1297,Human
99,89,79,1023,Human
100,90,13,668,Human
101,91,56,248,Human
102,81,5,1013,Human
103,92,31,18,Human
104,93,79,1083,Human
105,94,80,291,Human
106,95,63,1191,Human
107,48,81,254,Human
108,96,82,862,Human
109,97,83,826,Human
110,98,84,833,Human
111,99,84,1221,Human
112,100,13,1454,Human
113,3,85,336,Human
114,101,3,1075,Human
115,102,86,423,Human
116,103,87,1683,Human
117,104,54,478,Human
118,105,35,770,Human
119,106,88,1076,Human
120,95,89,306,Human
121,107,3,28,Human
122,108,90,95,Human
123,109,91,1187,Human
124,110,92,287,Human
125,111,79,1215,Human
126,112,93,317,Human
127,113,94,1588,Human
128,114,95,646,Human
129,115,96,161,Human
130,3,97,761,Human
131,116,63,907,Human
132,22,3,184,Human
133,117,89,97,Human
134,89,56,1797,Human
135,118,89,945,Human
136,80,56,596,Human
137,119,56,506,Human
138,120,47,224,Human
139,121,35,74,Human
140,110,98,738,Human
141,89,99,1642,Human
142,85,84,815,Human
143,65,100,591,Human
144,94,100,180,Human
145,122,89,1168,Human
146,123,101,291,Human
147,124,102,1491,Human
148,125,103,756,Human
149,94,104,262,Human
150,122,100,888,Human
151,126,100,149,Human
152,127,105,1171,Human
153,128,14,1591,Human
154,129,38,1263,Human
155,130,54,811,Human
156,131,106,232,Human
157,132,107,1065,Human
158,94,108,1110,Human
159,133,80,491,Human
160,110,44,681,Human
161,134,40,9,Human
162,65,3,1088,Human
163,135,109,670,Human
164,99,110,627,Human
165,136,29,152,Human
166,4,111,733,Human
167,94,56,1553,Human
168,137,3,625,Human
169,117,3,1306,Human
170,14,56,1734,Human
171,23,17,1559,Human
172,65,79,1584,Human
173,138,54,952,Human
174,92,112,797,Human
175,139,113,1126,Human
176,15,3,886,Human
177,140,99,1745,Human
178,141,114,1355,Human
179,89,115,270,Human
180,142,113,218,Human
181,38,75,421,Human
182,143,116,430,Human
183,144,10,1367,Human
184,145,56,200,Human
185,146,99,1603,Human
186,147,99,1386,Human
187,53,117,575,Human
188,148,44,1475,Human
189,13,118,1185,Human
190,89,29,167,Human
191,149,119,1659,Human
192,150,69,1009,Human
193,151,120,494,Human
194,152,121,941,Human
195,110,122,1777,Human
196,153,123,1552,Human
197,154,124,16,Human
198,155,125,1268,Human
199,156,26,0,Human
200,140,3,981,Human
201,112,126,270,Human
202,157,127,778,Human
203,67,128,173,Human
204,144,129,1704,Human
205,158,3,1467,Human
206,159,123,1072,Human
207,160,99,722,Human
208,161,99,1714,Human
209,162,112,857,Human
210,163,130,549,Human
211,23,35,1146,Human
212,164,123,464,Human
213,165,56,963,Human
214,15,58,390,Human
215,98,131,878,Human
216,166,132,492,Human
217,167,133,900,Human
218,168,9,1008,Human
219,169,134,1249,Human
220,148,135,1601,Human
