id,origin,destination,start_time,kind
0,0,0,590,Human
1,1,1,566,Human
2,2,2,574,Human
3,3,3,653,Human
4,4,3,1243,Human
5,5,4,1037,Human
6,6,5,43,Human
7,7,6,1700,Human
8,8,7,1630,Human
9,9,8,1688,Human
10,10,2,142,Human
11,11,9,1149,Human
12,12,2,1545,Human
13,13,10,1617,Human
14,14,11,383,Human
15,15,4,601,Human
16,6,12,399,Human
17,16,13,350,Human
18,17,3,950,Human
19,18,14,1199,Human
20,15,15,614,Human
21,19,16,339,Human
22,20,17,112,Human
23,21,18,492,Human
24,22,19,1392,Human
25,23,20,531,Human
26,24,2,1667,Human
27,15,14,736,Human
28,6,14,1792,Human
29,25,21,1325,Human
30,26,22,1252,Human
31,27,6,452,Human
32,28,23,220,Human
33,29,24,175,Human
34,30,25,1140,Human
35,31,26,308,Human
36,32,3,1776,Human
37,33,27,1161,Human
38,34,28,1238,Human
39,35,2,188,Human
40,36,2,1336,Human
41,37,29,396,Human
42,38,22,1729,Human
43,38,14,701,Human
44,39,30,694,Human
45,40,3,122,Human
46,41,27,1311,Human
47,42,31,1066,Human
48,43,32,490,Human
49,38,33,239,Human
50,44,34,1055,Human
51,45,35,1117,Human
52,46,36,846,Human
53,47,37,1746,Human
54,24,38,131,Human
55,48,39,1762,Human
56,9,40,518,Human
57,43,41,736,Human
58,40,42,1336,Human
59,19,43,136,Human
60,49,34,562,Human
61,50,44,682,Human
62,51,45,520,Human
63,52,46,640,Human
64,53,47,1107,Human
65,54,3,786,Human
66,55,48,642,Human
67,56,49,757,Human
68,57,13,1625,Human
69,58,50,133,Human
70,59,51,895,Human
71,60,52,1150,Human
72,61,53,2,Human
73,29,22,51,Human
74,62,54,211,Human
75,63,52,1410,Human
76,30,55,972,Human
77,61,56,1281,Human
78,46,57,1152,Human
79,64,58,969,Human
80,65,59,1538,Human
81,66,60,278,Human
82,67,61,101,Human
83,68,62,1301,Human
84,69,63,588,Human
85,31,18,441,Human
86,70,3,1278,Human
87,71,48,551,Human
88,72,64,545,Human
89,73,2,1520,Human
90,74,48,1401,Human
91,75,65,325,Human
92,76,12,1624,Human
93,70,66,1298,Human
94,77,67,331,Human
95,72,68,1220,Human
96,38,69,804,Human
97,78,47,1551,Human
98,79,3,1797,Human
99,59,42,1702,Human
100,77,48,1792,Human
101,30,34,761,Human
102,38,52,492,Human
103,80,70,1059,Human
104,81,71,1489,Human
105,40,72,265,Human
106,82,58,1454,Human
107,36,27,940,Human
108,83,48,1153,Human
109,84,63,450,Human
110,79,73,1350,Human
111,64,37,763,Human
112,23,14,431,Human
113,85,74,1398,Human
114,86,5,1751,Human
115,87,75,817,Human
116,88,74,1177,Human
117,89,76,353,Human
118,90,77,682,Human
119,91,78,240,Human
120,92,79,1081,Human
121,93,80,721,Human
122,94,81,402,Human
123,95,82,176,Human
124,96,83,8,Human
125,97,84,908,Human
126,43,85,78,Human
127,76,86,255,Human
128,98,3,855,Human
129,99,87,354,Human
130,100,4,909,Human
131,101,3,305,Human
132,3,78,974,Human
133,46,88,29,Human
134,94,89,268,Human
135,18,27,656,Human
136,102,57,371,Human
137,103,69,1800,Human
138,104,3,1151,Human
139,76,2,1319,Human
140,105,90,871,Human
141,86,33,391,Human
142,8,91,1291,Human
143,106,2,1117,Human
144,107,92,1526,Human
145,91,10,1538,Human
146,108,27,1575,Human
147,94,93,1443,Human
148,49,83,1629,Human
149,8,37,694,Human
150,109,1,756,Human
151,110,65,654,Human
152,111,27,1399,Human
153,112,94,259,Human
154,113,2,272,Human
155,78,95,955,Human
156,114,96,1060,Human
157,103,97,460,Human
158,42,98,1528,Human
159,115,57,456,Human
160,116,99,79,Human
161,117,2,1152,Human
162,97,100,1750,Human
163,118,101,677,Human
164,119,102,1749,Human
165,120,103,1778,Human
166,121,104,98,Human
167,122,33,1259,Human
168,123,83,1602,Human
169,58,2,101,Human
170,124,47,1775,Human
