origins,destinations,mask_0,mask_1,mask_2,mask_3
-1119245057#1,-153730010#2,1,1,1,1
-1119245057#1,-37054066,1,1,1,1
-1119245057#1,319058640,1,1,1,1
-1119245061,36936407#0,1,1,1,1
-1119245070,-156460683#5,1,1,0,1
-1119245071,-36933307#1,1,1,1,1
-1119245693,-165170994#4,1,1,1,1
-1238426234#0,-37054066,1,1,1,0
-1239117016#2,-36293752#5,1,1,1,1
-1239117045,-36933151#0,1,1,1,1
-1299820133,-36933307#1,1,1,1,1
-1299820133,36935040#2,1,1,1,1
-1299820133,36936396#0,1,1,1,1
-1339478328#0,-156460683#5,1,1,1,1
-1339510609#0,-156460683#5,1,1,1,1
-153730008#2,-165172642#0,1,1,1,1
-153730010#1,165172163,1,1,1,1
-153730010#2,-153730017,1,1,1,1
-153730010#2,-156460683#5,1,1,1,1
-153730010#2,-394446869,0,1,1,1
-153730010#2,-394456402#1,1,1,1,1
-153730010#2,319058608#0,1,1,1,1
-153730011,-328471845#0,1,1,1,1
-153730011,-36289599#0,1,1,1,0
-153730011,36936396#3,1,1,1,1
-153730011,698024155#1,1,1,1,1
-153730013#2,-650145330#0,1,1,1,0
-153730013#2,36935040#3,1,1,1,1
-153730015#3,-153730017,1,1,1,1
-153730015#3,-156460683#5,1,1,1,1
-153730015#3,-698024153,0,1,1,1
-153730015#3,156467000#3,1,1,1,1
-153730015#3,218916675,1,1,1,1
-153730016#1,-394443151#2,1,1,1,1
-153730017,-156460681#1,1,1,1,1
-153730017,-36933307#1,1,1,1,1
-153730017,-37054066,1,1,1,1
-153730017,-650145324#1,1,1,1,1
-153730018,-153730010#2,1,1,1,1
-153730018,-650145330#0,1,1,1,0
-153730020#0,-153730016#0,1,1,1,1
-153730020#0,-153730017,1,1,1,1
-153730020#0,-36950439#0,1,1,1,1
-153730020#0,39820659#0,1,1,1,1
-153730022#1,-698024153,0,1,1,1
-153730934,-156480737#2,1,1,1,1
-153730934,-36288941#0,1,1,1,1
-153730935,-48956015,1,1,1,1
-153730935,610135147#1,1,1,1,1
-153730937,36936590#1,1,1,1,1
-153730938,-650145324#1,1,1,1,1
-153730939#1,-1239117016#2,1,1,1,1
-153730939#1,-165172642#0,1,1,1,1
-153730939#1,-610135148#1,1,1,1,1
-153730939#1,36936236#1,1,1,1,1
-153732960#0,-1024000539#1,1,1,1,1
-153732960#0,36936373#3,0,0,1,1
-153732963#0,-710478296,1,1,1,1
-153732963#2,-153730010#2,1,1,1,1
-153732963#2,-153730022#1,1,0,1,1
-156460672,698024155#0,1,1,1,1
-156460677,-156460683#5,1,1,1,1
-156460681#1,-37055563#1,1,1,1,0
-156460683#0,-36933307#1,1,1,1,1
-156460683#0,1119245060#2,1,1,1,1
-156460683#1,-35802097#1,1,1,1,1
-156460683#1,-36293459#0,1,1,1,1
-156460683#5,-1057740876,1,1,1,1
-156460683#5,-36294383#6,1,1,1,0
-156460683#5,-37088332#3,1,1,1,1
-156460683#5,610135147#1,1,1,1,1
-156460683#6,-153730015#2,1,1,1,1
-156460683#7,-36293459#8,1,1,1,1
-156460683#7,37052930,1,1,0,1
-156460683#8,-35801597#3,1,1,1,1
-156460683#8,-394446873#2,1,1,1,1
-156460691,-156460681#1,1,1,1,1
-156460691,-156460683#5,1,0,1,1
-156460691,-35802097#1,1,1,1,1
-156460691,-36293459#1,1,1,1,1
