start_time,origin,destination,kind,origin_real_id,dest_real_id,origin_x,origin_y,dest_x,dest_y,cluster
590,0,0,Human,156460680#1,-243836884#5,4178.88,3290.6,3452.5,1409.57,2
566,1,1,Human,-165171783#1,37052930,3548.82,1309.9,3560.97,3019.52,0
574,2,2,Human,-1339478328#0,-156460683#5,3240.16,2736.36,3501.02,3995.22,7
653,3,3,Human,-1119245057#1,-153730010#2,4123.04,3588.62,4571.17,2348.21,8
1243,4,3,Human,37050051,-153730010#2,4277.06,2950.92,4571.17,2348.21,8
1037,5,4,Human,-153730016#1,-394443151#2,4398.34,2207.95,3249.2,1483.56,8
43,6,5,Human,-859784039#0,-1119245060#0,4354.56,3187.94,4071.46,3446.76,3
1700,7,6,Human,36936590#6,319058646#1,3624.39,1709.24,3690.37,1172.16,5
1630,8,7,Human,1119245067,-36293459#7,4203.72,2952.09,3939.74,3470.65,4
1688,9,8,Human,1239117013#2,-165171783#1,3751.5,1890.18,3548.82,1310.1,5
142,10,2,Human,918716574#2,-156460683#5,3741.68,2928.73,3501.02,3995.22,10
1149,11,9,Human,-156460681#1,-37055563#1,3435.94,3678.04,4394.98,3323.85,9
1545,12,2,Human,-36294081#1,-156460683#5,4177.48,3912.82,3501.02,3995.22,9
1617,13,10,Human,-36950506#3,187827276,4627.4,2662.56,3101.9,3184.81,4
383,14,11,Human,-37052381#2,-35802097#3,4022.08,3450.3,2893.35,2751.33,0
601,15,4,Human,-319058611,-394443151#2,4593.63,2654.61,3249.2,1483.56,2
399,6,12,Human,-859784039#0,36936373#3,4354.56,3187.94,3899.86,2469.32,3
350,16,13,Human,-153730010#1,165172163,4569.09,2341.21,3660.57,1291.97,2
950,17,3,Human,165172163,-153730010#2,3693.96,1281.54,4571.17,2348.21,1
1199,18,14,Human,-37055563#1,-698026762,4516.98,3642.19,4914.44,2707.08,8
614,15,15,Human,-319058611,1239117012#2,4593.63,2654.61,3775.18,1918.55,2
339,19,16,Human,-36294081#2,-156460683#0,4177.51,3921.11,3345.56,4371.28,0
112,20,17,Human,1119245066#1,-243836890#2,4525.96,2898.81,3355.18,2250.13,3
492,21,18,Human,36936396#2,319058644,4104.91,2765.61,4321.64,2344.8,3
1392,22,19,Human,319058644,36936396#2,4323.02,2338.06,4116.1,2758.65,8
531,23,20,Human,269702544,-37052381#1,3722.7,2378.13,4006.0,3356.52,2
1667,24,2,Human,-153730015#3,-156460683#5,4374.92,1827.81,3501.02,3995.22,4
736,15,14,Human,-319058611,-698026762,4593.63,2654.61,4914.44,2707.08,8
1792,6,14,Human,-859784039#0,-698026762,4354.56,3187.94,4914.44,2707.08,5
1325,25,21,Human,-37052381#0,-153730008#2,4003.63,3347.38,4252.09,1972.34,8
1252,26,22,Human,319058608#0,36950506#0,4389.91,2616.46,4828.98,2712.21,8
452,27,6,Human,-698026762,319058646#1,4914.63,2707.01,3690.37,1172.16,2
220,28,23,Human,-156460683#0,1119245060#2,3402.48,4301.31,4141.22,3411.37,10
175,29,24,Human,-36934835#0,319058646#0,3634.66,2775.7,3706.78,1230.65,10
1140,30,25,Human,-153730939#1,-610135148#1,4190.23,2632.93,4592.1,1524.14,4
308,31,26,Human,-319058589#1,39820659#3,4593.5,2996.35,4625.2,2629.65,3
1776,32,3,Human,-153730018,-153730010#2,4227.83,1859.78,4571.17,2348.21,5
1161,33,27,Human,-319779153,-36293459#8,4084.39,1983.65,3965.27,3464.79,1
