origins,destinations,mask_0,mask_1,mask_2,mask_3
-100468675#0,-101604513#1,1,1,1,1
-100468681#0,-101608828,1,1,1,1
-100468681#0,-101749458#0,1,1,1,1
-100468681#0,-1200809291,1,1,1,1
-100468681#0,-23887076#2,1,1,1,1
-100468681#0,-336863927#1,1,1,1,1
-100468681#0,101417074,1,1,1,1
-100468681#2,659281081#1,1,1,0,1
-100488715#3,-101411571#1,1,1,1,1
-100488715#3,-101609498#0,1,1,1,1
-100488715#3,1164659926,1,1,1,1
-100488715#4,-101605951#5,0,1,1,1
-100488715#4,-101611601,1,1,1,1
-100488715#4,-619184994,1,1,1,1
-100488715#6,-372606529#4,1,1,1,1
-100525438#2,-101415865#0,1,1,1,1
-100525445,101606547#1,0,1,1,1
-1006827381,416428068,1,1,1,1
-101411571#0,-101746498#2,1,1,0,1
-101411571#0,-416409191#0,1,1,1,1
-101415864#1,-1323419247,1,1,1,1
-101415864#1,-416412034,1,1,1,1
-101415865#0,-100525438#2,1,1,1,1
-101418584#1,-100468681#0,1,1,1,1
-101594809#0,-101787493,1,1,1,1
-101594843,-619184994,1,1,1,1
-101600741#2,-101752975#2,1,1,1,1
-101600741#2,-659283000#3,1,1,1,1
-101601551,-101746508#0,1,1,1,1
-101601551,101606547#1,1,1,1,1
-101601553#1,-619184994,1,1,1,0
-101601559,-100468681#0,1,1,1,1
-101601559,-101746516#0,1,1,1,1
-101604496#1,-100468681#0,1,1,1,1
-101604496#1,-101746498#2,1,1,1,1
-101604497,-1323419243,1,1,1,1
-101604513#1,-100468675#0,1,1,1,1
-101604513#1,101606547#1,1,1,1,1
-101605951#3,526438862#2,1,1,1,1
-101605951#5,-101606549,0,1,1,1
-101606546,-336860317#0,1,1,1,1
-101606549,-101605951#5,0,1,1,1
-101607098#1,100475365#1,1,1,1,1
-101607967#0,-100468681#0,1,1,1,1
-101608828,-619184994,1,1,1,1
-101608960,-100488715#7,1,1,1,1
-101608960,-101752975#2,1,1,1,1
-101609498#5,282689983#1,1,1,1,1
-101611601,-100468681#0,1,1,1,1
-101611601,-1323419243,1,1,1,1
-101746498#0,-101600741#2,1,1,1,1
-101746498#0,416428068,1,1,1,1
-101746498#1,71223791#1,1,1,1,1
-101746498#2,-101604518,1,1,1,1
-101746498#2,-101746516#0,1,1,0,1
-101746498#2,120509990,1,1,0,1
-101746516#0,-101605951#5,1,1,1,1
-101746516#2,-372606529#4,1,1,1,1
-101749449#0,-1323419243,1,1,1,1
-101749451,-619184994,1,1,1,1
-101749462,100475365#1,1,1,1,1
-101749465,-1323419247,1,1,1,1
-101752970#1,-1323419243,1,1,1,1
-101752975#1,101606547#1,1,1,0,1
-101754276#1,-101746498#2,1,1,1,1
-101765339#0,100475365#1,1,0,1,0
-101765339#0,71324343#3,1,1,1,1
-101765343,-101418589,1,1,1,1
-101765343,-101746498#2,1,1,1,1
-101765343,416428068,1,1,1,1
-101767911,416428068,1,1,1,1
-101784793,-1323419243,0,1,0,1
-101787489,-1323419243,1,1,1,1
-101787489,526438862#0,1,1,1,1
-101787498,-71223800#1,1,1,1,1
-1200809291,-101752975#2,1,1,1,1
-1200809291,120509991,1,1,1,1
-120511302,-372606529#4,1,1,1,0
-1323419242#1,-100468681#1,1,1,1,1
-1323419243,-101746498#2,1,1,0,1
-1323419243,-101787489,1,1,1,1
-1323419243,-1323419242#1,0,1,1,1
-1323419243,868087112,1,1,1,1
-1323419247,282479125#1,1,1,1,1
-1323419247,464265154,1,1,1,1
-173532317#1,-1323419243,0,1,1,1
-282689975#2,-101594836#0,1,1,1,1
-282689975#2,-101752970#2,1,1,1,1
-282689975#3,-1200809291,1,1,1,1
-282689981#0,-352797377,0,1,0,1
-282689981#1,-619184994,1,1,1,1
-282689985#1,-101608959,1,1,1,1
-282689986,-282690560#0,1,0,1,0
-297823017,-101746498#2,1,1,0,1
-297823017,-659283000#3,1,1,1,1
-297823017,101767915#1,1,1,0,1
-297823021,-101754276#1,1,1,1,1
-297823021,-372606529#4,1,1,1,1
-297823021,100475365#1,1,1,1,1
-297823021,416373452,1,1,1,1
-297823024,100475365#1,1,1,1,1
-297823024,101767915#1,1,1,1,1
-336860316#0,-837309289#1,1,1,1,1
-336860316#0,101608824,1,1,1,1
-336860316#0,416428068,1,1,1,1
-336860317#0,-101606546,1,1,1,1
-336860317#1,-1047412913,1,1,1,1
-352797377,-416375814,1,1,0,1
-416375813,-101767922,1,1,1,1
-416375813,-619184994,1,1,1,1
-416375814,-352797377,0,1,1,1
-416409190,-100468681#0,1,1,1,1
-416409191#0,100475365#1,0,1,0,0
-416409191#1,416428068,1,1,1,1
-42762428#0,-100468681#2,1,1,1,0
-42762428#0,-101599076#0,1,1,1,1
-42762428#3,-416409191#0,1,1,1,1
-42762428#3,-47374664,1,1,0,1
-47374664,101418583,1,1,1,1
-47374664,101606547#1,1,1,1,1
-47374665#1,-100468681#0,1,1,1,1
-47374680#7,526438862#2,1,1,1,1
-479315694,-1323419243,1,1,1,1
-619184994,-101746498#2,1,1,1,1
-619184994,-101752975#1,1,1,1,1
-659278038#0,100475365#1,0,1,0,1
-659278038#3,-101752975#1,1,1,1,1
-659278038#3,-1200809291,1,1,1,1
-679068326#3,-1200809291,1,1,1,1
-71223800#4,-336863927#1,1,0,1,1
-71223800#7,416428068,1,1,1,1
-71324343#4,-619184994,1,0,1,0
-71324343#5,416428068,1,1,1,1
100475365#1,-101601832#0,1,1,1,1
100475365#1,-101604513#1,1,1,1,1
100475365#1,-101609494#0,1,1,1,1
100475365#1,101607963,1,1,1,1
100475365#1,336863934,1,1,1,1
100475365#1,71324347#3,1,1,1,1
100475365#1,71324347#5,1,1,1,1
100525438#0,-100468681#0,1,1,1,1
101416508#0,101418583,1,1,1,1
101416508#1,71223791#1,1,1,0,1
101417074,463830226#1,1,1,1,1
101418583,-47374664,1,1,1,1
101594822,-120511144#0,1,1,1,1
101594836#1,-101418584#1,1,1,1,1
101605951#0,-101746498#2,1,1,1,1
101606547#1,-101601551,1,1,1,1
101606547#1,-101604518,1,1,1,1
101607964#0,-101600741#2,1,1,1,1
101607969#0,-416409192#7,1,1,1,1
101607969#1,-100468681#0,1,1,1,1
101611060,-1200809291,1,1,1,1
101611600,-1200809291,1,1,1,1
101611600,100475365#1,1,1,1,1
101765339#2,-71223800#4,1,1,1,1
101784499#1,-101746514,1,1,1,1
101784499#1,-1323419243,1,1,1,1
101784499#1,1047412912#0,0,1,0,0
1164653913,526438862#1,1,1,1,1
1200809292,101606547#1,1,1,1,1
120509990,1323419244,1,1,1,1
120509991,-100468681#0,1,1,1,1
120509991,-120511144#2,1,1,1,1
120511301,416373452,1,1,1,1
120511930,-372606529#4,1,1,1,0
120511932#0,100475365#1,0,1,0,0
120829754,526438862#0,1,1,1,1
1323419244,-1323419243,1,0,1,1
1323419244,120509990,1,1,1,1
297823019#3,-71324343#0,1,1,1,1
297823019#4,-101787498,1,1,1,1
336863927#0,-101752975#1,1,1,1,1
336863927#3,-619184994,1,1,1,1
336863934,100475365#1,1,1,1,1
416405090,-1323419243,1,1,1,1
416409192#0,-416409191#0,0,1,0,1
416409192#0,101606547#1,1,1,1,1
416409192#5,101606547#1,1,1,1,1
463830226#1,464265154,1,1,1,1
47374680#2,-372606529#4,1,1,1,1
526438862#0,-100468681#0,1,1,1,1
526438862#0,120829754,1,1,1,1
526438862#1,-101752975#1,1,1,1,1
526438862#2,-100468681#1,1,1,1,1
526438862#2,-1323419243,1,1,1,1
526439431#0,-100468681#0,1,1,1,1
526439431#0,100475365#1,1,0,1,1
526439431#0,101754278#1,1,1,1,1
619185406,-1200809291,1,1,1,1
659278036#2,-100468681#0,1,1,1,0
659281081#0,-416409191#0,1,1,1,1
659281081#1,-101746498#2,1,1,1,1
659281081#1,-352797377,1,1,1,1
659281081#1,100475365#1,1,0,1,1
659283000#1,100525438#0,1,0,1,1
71223791#0,-372606529#4,1,1,1,1
71223791#1,100475365#1,1,1,1,1
71223800#6,-416409192#7,1,1,1,1
71324343#3,526438862#2,1,1,1,1
71324347#0,-101746498#2,1,1,1,1
71324347#0,-47374664,1,1,1,1
71324347#1,100475365#1,1,1,1,1
71324347#2,416373452,1,1,1,1
71324347#3,-101418584#0,1,1,1,1
71324347#5,-1047412913,1,1,1,1
71324347#5,416428068,1,1,1,1
75421017,-100468675#0,1,1,1,1
75421017,-1323419243,1,1,1,1
75421017,-372606529#4,1,1,1,1
75421017,101606547#1,0,1,1,1
76867740,-101746498#2,1,1,1,1
76867740,416428068,1,1,1,1
868087112,416373452,0,1,0,1
