start_time,origin,destination,kind,origin_real_id,dest_real_id,origin_x,origin_y,dest_x,dest_y,cluster
70,0,0,Human,-42762428#0,-100468681#2,2968.59,2657.12,3046.32,3375.56,9
569,1,1,Human,-1323419247,464265154,2783.47,2563.49,2744.3,2684.72,4
1548,2,2,Human,71324347#2,416373452,2815.26,2412.47,2611.72,2572.14,6
850,3,3,Human,-100525445,101606547#1,2616.32,2557.92,2138.76,2634.12,5
1175,4,4,Human,-282689981#0,-352797377,3158.57,2363.05,3160.03,2246.83,6
154,5,5,Human,-101607967#0,-100468681#0,3361.76,3293.24,2595.78,3722.61,3
637,6,6,Human,-101594809#0,-101787493,3543.94,2957.0,1991.0,1640.09,3
1679,7,7,Human,-659278038#3,-101752975#1,2719.42,2856.85,2176.66,1451.97,8
271,8,8,Human,-101609498#5,282689983#1,3505.71,3337.02,2944.47,2485.07,3
131,9,9,Human,-120511302,-372606529#4,2845.6,2415.08,3262.76,2972.65,9
360,10,10,Human,101416508#0,101418583,3427.71,2718.84,2722.98,2495.1,3
1541,11,11,Human,-47374680#7,526438862#2,2869.35,2272.82,2744.8900000000003,2512.84,6
1197,12,12,Human,336863934,100475365#1,3537.15,2949.0,2719.86,2835.54,7
1317,13,13,Human,100475365#1,336863934,2719.3,2839.87,3479.39,2930.91,8
1526,14,5,Human,-101611601,-100468681#0,3334.07,3071.73,2595.78,3722.61,7
852,15,5,Human,-101604496#1,-100468681#0,2762.82,3123.84,2595.78,3722.61,2
595,16,14,Human,101594836#1,-101418584#1,3411.71,3079.97,2293.01,2455.03,3
1745,17,15,Human,659281081#1,-101746498#2,2542.92,2445.7,2720.16,1993.94,8
257,18,16,Human,-297823021,-101754276#1,3695.71,3006.5,2135.58,1492.8,3
476,19,17,Human,-282689985#1,-101608959,1873.17,2325.74,3102.12,3419.67,2
810,20,18,Human,526438862#2,-1323419243,2725.1800000000003,2503.24,2324.85,2303.21,5
1026,21,15,Human,71324347#0,-101746498#2,2891.28,2430.94,2720.16,1993.94,5
1539,22,19,Human,297823019#4,-101787498,3656.88,3168.79,2008.2,1828.4,7
1235,23,5,Human,-47374665#1,-100468681#0,2598.46,2374.59,2595.78,3722.61,8
1283,24,20,Human,-297823024,101767915#1,3666.25,3162.98,2145.11,1700.14,7
1571,14,18,Human,-101611601,-1323419243,3334.07,3071.73,2324.85,2303.21,0
958,25,21,Human,-100488715#4,-101611601,2444.05,2621.95,3315.31,3089.48,5
853,26,2,Human,868087112,416373452,2790.3050000000003,2558.815,2611.72,2572.14,6
1518,27,22,Human,75421017,-100468675#0,2763.15,2671.44,2561.13,3692.96,8
1411,28,23,Human,416409192#0,-416409191#0,704.08,2446.92,1481.87,2496.39,0
15,29,24,Human,-282689975#2,-101594836#0,3811.92,2357.18,3388.34,3123.62,9
1230,30,12,Human,120511932#0,100475365#1,3015.26,2991.39,2719.86,2835.54,10
587,31,22,Human,-101604513#1,-100468675#0,2733.73,2998.72,2561.13,3692.96,2
1187,32,25,Human,-100468675#0,-101604513#1,2564.9,3680.87,2727.9,3048.29,10
1615,33,5,Human,-416409190,-100468681#0,1077.26,2500.55,2595.78,3722.61,0
357,34,26,Human,297823019#3,-71324343#0,3658.11,3154.96,3155.03,2567.37,3
1627,18,12,Human,-297823021,100475365#1,3695.71,3006.5,2719.86,2835.54,7
1708,35,27,Human,-297823017,-659283000#3,3425.07,3180.48,3311.57,2759.49,7
1644,27,3,Human,75421017,101606547#1,2763.15,2671.44,2138.76,2634.12,8
1309,36,28,Human,-100468681#0,-336863927#1,2681.58,3675.22,3429.49,3458.26,10
1318,37,27,Human,-101600741#2,-659283000#3,2903.25,3330.58,3311.57,2759.49,10
466,18,2,Human,-297823021,416373452,3695.71,3006.5,2611.72,2572.14,3
1605,38,29,Human,-101608828,-619184994,3224.46,3330.18,2965.95,2744.96,10
807,24,12,Human,-297823024,100475365#1,3666.25,3162.98,2719.86,2835.54,3
800,35,15,Human,-297823017,-101746498#2,3425.07,3180.48,2720.16,1993.94,5
1219,39,29,Human,-101594843,-619184994,3505.73,2844.02,2965.95,2744.96,7
234,40,18,Human,-101787489,-1323419243,2019.69,2017.41,2324.85,2303.21,1
1734,41,30,Human,-1323419243,-101787489,2323.26,2301.23,2050.41,1924.92,8
981,17,12,Human,659281081#1,100475365#1,2542.92,2445.7,2719.86,2835.54,4
1027,42,31,Human,-101601559,-101746516#0,2623.72,3321.06,2961.87,2054.29,10
731,13,32,Human,100475365#1,-101601832#0,2719.3,2839.87,2463.56,2972.44,4
1262,43,9,Human,120511930,-372606529#4,2961.17,2735.36,3262.76,2972.65,6
1236,44,33,Human,659283000#1,100525438#0,3255.37,2740.48,2946.8,3142.92,7
13,18,9,Human,-297823021,-372606529#4,3695.71,3006.5,3262.76,2972.65,9
385,45,5,Human,526439431#0,-100468681#0,2794.38,2560.89,2595.78,3722.61,2
188,46,29,Human,-71324343#4,-619184994,3418.06,2722.6,2965.95,2744.96,3
208,47,12,Human,-101607098#1,100475365#1,3374.06,3185.98,2719.86,2835.54,3
1156,48,34,Human,101611600,-1200809291,3164.1,2989.28,2791.98,2514.23,7
445,0,35,Human,-42762428#0,-101599076#0,2968.59,2657.12,2702.63,3588.6,2
574,49,5,Human,526438862#0,-100468681#0,2644.935,2480.38,2595.78,3722.61,4
1415,13,36,Human,100475365#1,71324347#3,2719.3,2839.87,2742.55,2401.68,8
1461,36,34,Human,-100468681#0,-1200809291,2681.58,3675.22,2791.98,2514.23,10
1184,36,37,Human,-100468681#0,-101749458#0,2681.58,3675.22,2333.21,2138.72,10
1553,50,38,Human,101417074,463830226#1,3521.11,2610.89,3160.37,2473.21,7
1356,51,11,Human,71324343#3,526438862#2,3373.17,2675.7,2744.8900000000003,2512.84,7
1693,52,23,Human,-101411571#0,-416409191#0,2915.36,2288.15,1481.87,2496.39,6
1737,53,12,Human,-101749462,100475365#1,3164.79,2352.08,2719.86,2835.54,6
1388,54,39,Human,-42762428#3,-47374664,3087.65,2696.43,2647.55,2223.74,6
589,55,40,Human,71324347#5,-1047412913,2667.66,2389.78,3802.93,2900.73,9
124,56,34,Human,101611060,-1200809291,3212.38,2737.34,2791.98,2514.23,3
598,57,41,Human,-101415865#0,-100525438#2,2361.12,2012.06,2751.04,3131.36,2
1258,58,42,Human,-100525438#2,-101415865#0,2690.36,3121.64,2539.06,2191.9,10
231,59,5,Human,-101418584#1,-100468681#0,2478.35,2578.6,2595.78,3722.61,2
