episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,93.33,
210,0,315,93.13,
215,0,301,93.36,
220,0,306,92.72,
225,0,305,93.65,
230,0,304,92.39,
235,0,299,92.79,
240,0,322,92.64,
245,0,311,93.95,
250,0,313,92.29,
255,0,306,92.80000000000001,
260,0,287,91.13999999999999,
265,0,316,93.27999999999999,
270,0,289,92.24,
275,0,291,91.43,
280,0,292,93.29,
285,0,285,94.3,
290,0,282,94.11,
295,0,319,91.96000000000001,
300,0,284,92.66,
305,0,297,91.53,
310,0,305,92.66,
315,0,310,93.46000000000001,
320,0,332,92.89,
325,0,332,92.23,
330,0,321,92.91,
335,0,328,91.83,
340,0,325,93.0,
345,0,310,92.66999999999999,
350,0,274,91.74,
355,0,313,94.36,
360,0,313,95.72,
365,0,324,92.9,
370,0,292,94.32000000000001,
375,0,261,94.84,
380,0,319,93.02,
385,0,319,94.87,
390,0,303,93.29,
395,0,302,94.87,
400,0,334,96.11,
405,0,292,92.28999999999999,
410,0,293,95.04,
415,0,327,94.97,
420,0,308,92.16,
425,0,250,92.18,
430,0,242,91.25,
435,0,274,92.95,
440,0,282,93.83,
445,0,266,94.79,
450,0,266,92.37,
455,0,313,94.81,
460,0,292,94.43,
465,0,343,92.22999999999999,
470,0,230,95.17999999999999,
475,0,206,93.28,
480,0,334,90.98,
485,0,306,92.51,
490,0,314,92.75,
495,0,297,92.36,
500,0,324,94.11999999999999,
505,0,306,92.26,
510,0,242,92.97000000000001,
515,0,244,92.54,
520,0,277,94.83,
525,0,324,92.02,
530,0,200,92.51,
535,0,224,92.06,
540,0,289,94.09,
545,0,193,93.02000000000001,
550,0,319,95.39,
555,0,318,92.35000000000001,
560,0,267,93.09,
565,0,270,92.06,
570,0,236,93.69999999999999,
575,0,171,93.48,
580,0,290,92.83,
585,0,273,92.09,
590,0,351,94.35,
595,0,318,91.78999999999999,
600,0,260,94.63,
605,0,277,92.85,
610,0,312,95.38000000000001,
615,0,306,95.85,
620,0,334,94.15,
625,0,287,92.73,
630,0,180,95.27,
635,0,208,91.49,
640,0,137,91.18,
645,0,292,94.4,
650,0,295,91.44,
655,0,235,94.65,
660,0,238,91.66,
665,0,323,93.92999999999999,
670,0,279,95.21000000000001,
675,0,264,95.14,
680,0,352,92.54,
685,0,215,93.48,
690,0,300,91.75999999999999,
695,0,325,93.3,
700,0,291,92.89,
705,0,226,92.74000000000001,
710,0,264,94.11999999999999,
715,0,221,92.62,
720,0,201,92.24,
725,0,265,95.36,
730,0,299,91.45,
735,0,308,94.75999999999999,
740,0,198,91.60000000000001,
745,0,325,92.91,
750,0,390,94.88000000000001,
755,0,343,91.85,
760,0,96,92.22,
765,0,208,92.35,
770,0,205,93.13,
775,0,247,93.97,
780,0,298,93.52000000000001,
785,0,269,93.14,
790,0,43,91.52000000000001,
795,0,110,91.27,
800,0,122,92.21000000000001,
805,0,89,91.65,
810,0,121,90.48,
815,0,205,91.89,
820,0,150,91.75,
825,0,74,91.52,
830,0,32,91.35,
835,0,326,94.79,
840,0,364,91.81,
845,0,73,92.18,
850,0,334,93.53,
855,0,371,94.55,
860,0,352,91.62,
865,0,157,89.97,
870,0,143,92.27,
875,0,331,93.55,
880,0,215,95.13000000000001,
885,0,190,91.65,
890,0,319,95.27,
895,0,334,93.78,
900,0,94,93.59,
905,0,320,92.23,
910,0,267,93.02,
915,0,222,94.35,
920,0,105,92.76,
925,0,247,92.37,
930,0,253,92.25,
935,0,358,96.07000000000001,
940,0,341,91.75,
945,0,263,96.19000000000001,
950,0,253,92.9,
955,0,119,91.45,
960,0,167,90.92999999999999,
965,0,123,91.83,
970,0,71,90.34,
975,0,161,92.03999999999999,
980,0,118,93.73,
985,0,117,91.98,
990,0,329,93.61999999999999,
995,0,309,92.58,
1000,0,389,95.26,
1005,0,232,90.75,
1010,0,160,93.13,
1015,0,189,90.86999999999999,
1020,0,274,93.53999999999999,
1025,0,283,91.98,
1030,0,361,95.15,
1035,0,343,92.9,
1040,0,316,94.66,
1045,0,316,92.0,
1050,0,273,91.54,
1055,0,73,91.73,
1060,0,101,92.44,
1065,0,191,91.69000000000001,
1070,0,142,92.2,
1075,0,188,91.1,
1080,0,177,92.31,
1085,0,78,91.58000000000001,
1090,0,168,90.57000000000001,
1095,0,121,91.52,
1100,0,167,92.9,
1105,0,139,92.75,
1110,0,126,91.55,
1115,0,157,91.22,
1120,0,219,93.92,
1125,0,301,92.13999999999999,
1130,0,86,91.62,
1135,0,325,93.34,
1140,0,339,92.14,
1145,0,324,93.42,
1150,0,314,92.28,
1155,0,100,91.01,
1160,0,403,95.99,
1165,0,403,91.95,
1170,0,216,92.99,
1175,0,319,92.27000000000001,
1180,0,284,92.83,
1185,0,260,93.41,
1190,0,300,92.34,
1195,0,352,94.43,
1200,0,341,92.13,
1205,0,386,94.54,
1210,0,359,91.38000000000001,
1215,0,88,91.47999999999999,
1220,0,42,90.71,
1225,0,140,92.72,
1230,0,178,91.33,
1235,0,138,90.93,
1240,0,150,92.15,
1245,0,23,91.75,
1250,0,299,93.26,
1255,0,248,90.99,
1260,0,119,89.8,
1265,0,134,91.05,
1270,0,216,91.15,
1275,0,244,95.24000000000001,
1280,0,357,90.88,
1285,0,234,93.25,
1290,0,240,91.64999999999999,
1295,0,288,91.5,
