episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,93.11,
210,0,24,93.72,
215,0,22,93.51,
220,0,24,94.12,
225,0,25,93.83999999999999,
230,0,20,92.92,
235,0,34,92.30999999999999,
240,0,27,93.7,
245,0,25,93.25,
250,0,22,93.26,
255,0,27,93.46000000000001,
260,0,23,93.64,
265,0,24,92.25,
270,0,116,92.42999999999999,
275,0,48,92.91,
280,0,50,93.83,
285,0,51,94.28,
290,0,66,93.35,
295,0,49,93.16,
300,0,50,93.32000000000001,
305,0,54,92.94999999999999,
310,0,56,92.25,
315,0,43,91.97999999999999,
320,0,52,92.42999999999999,
325,0,60,92.07,
330,0,126,90.91,
335,0,51,92.39999999999999,
340,0,63,91.60000000000001,
345,0,64,93.21,
350,0,64,90.55,
355,0,60,91.44,
360,0,60,90.94,
365,0,66,91.86999999999999,
370,0,62,91.68,
375,0,67,91.62,
380,0,74,91.86,
385,0,59,92.39,
390,0,57,91.08,
395,0,118,91.81,
400,0,77,90.35,
405,0,77,91.43,
410,0,75,90.7,
415,0,77,89.88,
420,0,69,91.05,
425,0,81,91.9,
430,0,62,90.19,
435,0,59,90.6,
440,0,66,91.61,
445,0,73,91.36,
450,0,71,90.19,
455,0,76,91.53,
460,0,108,90.39,
465,0,73,91.64,
470,0,72,90.55,
475,0,67,90.34,
480,0,76,91.49,
485,0,79,91.11999999999999,
490,0,82,90.84,
495,0,81,90.37,
500,0,89,91.42,
505,0,81,89.73,
510,0,80,91.02,
515,0,68,91.13,
520,0,86,90.83,
525,0,113,90.64999999999999,
530,0,72,90.75,
535,0,82,90.86,
540,0,85,91.77,
545,0,82,90.61,
550,0,82,91.32,
555,0,79,90.21,
560,0,73,92.13,
565,0,75,91.34,
570,0,75,91.39,
575,0,84,91.71,
580,0,86,90.35000000000001,
585,0,80,90.44,
590,0,102,91.75,
595,0,89,91.52,
600,0,87,91.69,
605,0,83,91.34,
610,0,85,91.11999999999999,
615,0,84,90.68,
620,0,83,91.42,
625,0,78,92.86,
630,0,85,92.22,
635,0,84,91.83,
640,0,86,91.55,
645,0,90,90.78999999999999,
650,0,107,89.97,
655,0,87,90.86999999999999,
660,0,90,90.21,
665,0,94,91.75999999999999,
670,0,92,90.28,
675,0,85,91.98,
680,0,93,90.89999999999999,
685,0,98,90.97999999999999,
690,0,77,90.55999999999999,
695,0,91,91.73,
700,0,96,91.77000000000001,
705,0,97,91.83,
710,0,104,92.14999999999999,
715,0,96,91.33,
720,0,82,90.87,
725,0,84,91.55000000000001,
730,0,88,90.75,
735,0,86,90.21,
740,0,92,91.31,
745,0,82,91.52000000000001,
750,0,90,91.05999999999999,
755,0,77,91.68,
760,0,78,89.85,
765,0,82,89.71,
770,0,95,91.36,
775,0,85,91.09,
780,0,87,92.13000000000001,
785,0,83,90.87,
790,0,82,91.17,
795,0,79,90.41,
800,0,78,91.25,
805,0,90,90.66,
810,0,92,90.74000000000001,
815,0,89,90.44,
820,0,70,89.99,
825,0,96,90.9,
830,0,101,90.42,
835,0,79,90.62,
840,0,75,90.74,
845,0,93,91.39,
850,0,97,90.86999999999999,
855,0,93,91.69,
860,0,95,90.19,
865,0,93,91.4,
870,0,81,90.11,
875,0,113,91.61,
880,0,107,91.58,
885,0,90,90.32000000000001,
890,0,92,90.37,
895,0,95,91.33999999999999,
900,0,83,91.26,
905,0,93,91.37,
910,0,108,90.54,
915,0,96,92.37,
920,0,82,91.14,
925,0,91,89.88999999999999,
930,0,88,89.96000000000001,
935,0,88,90.86999999999999,
940,0,96,91.88,
945,0,87,91.13,
950,0,100,91.49000000000001,
955,0,84,91.05999999999999,
960,0,83,90.5,
965,0,76,90.05000000000001,
970,0,106,91.16,
975,0,81,90.05,
980,0,92,90.96,
985,0,80,90.89999999999999,
990,0,84,91.35000000000001,
995,0,87,91.92,
1000,0,96,90.57,
1005,0,87,91.07,
1010,0,90,91.07000000000001,
1015,0,83,90.77000000000001,
1020,0,83,89.38,
1025,0,90,90.33,
1030,0,93,90.11999999999999,
1035,0,114,89.78,
1040,0,106,90.0,
1045,0,85,90.73,
1050,0,90,91.35,
1055,0,86,90.0,
1060,0,87,89.87,
1065,0,78,90.51,
1070,0,82,90.67999999999999,
1075,0,87,90.14,
1080,0,93,89.81,
1085,0,82,91.08999999999999,
1090,0,96,90.5,
1095,0,93,89.25,
1100,0,81,90.88,
1105,0,96,90.55000000000001,
1110,0,91,91.3,
1115,0,84,91.22,
1120,0,85,91.81,
1125,0,99,90.4,
1130,0,78,91.00999999999999,
1135,0,89,90.94,
1140,0,89,90.77,
1145,0,87,90.08,
1150,0,86,90.49,
1155,0,91,90.76,
1160,0,96,91.21,
1165,0,124,91.32000000000001,
1170,0,92,90.86,
1175,0,85,89.91,
1180,0,90,91.72,
1185,0,87,90.81,
1190,0,91,91.64,
1195,0,91,91.01,
1200,0,95,90.32,
1205,0,105,91.0,
1210,0,106,91.49,
1215,0,91,92.64,
1220,0,95,90.41999999999999,
1225,0,89,91.36,
1230,0,113,90.97,
1235,0,110,90.37,
1240,0,91,89.92999999999999,
1245,0,98,91.44,
1250,0,98,90.47,
1255,0,96,91.78,
1260,0,103,89.82000000000001,
1265,0,93,91.84,
1270,0,92,91.75,
1275,0,93,91.24000000000001,
1280,0,94,90.38999999999999,
1285,0,89,90.51,
1290,0,115,91.8,
1295,0,107,91.51,
1300,0,92,92.25,
1305,0,99,90.78999999999999,
1310,0,97,90.66,
1315,0,99,91.52000000000001,
1320,0,101,91.83999999999999,
1325,0,98,91.0,
1330,0,91,91.50999999999999,
1335,0,95,90.83999999999999,
1340,0,94,90.44,
1345,0,96,91.02,
1350,0,105,90.64,
1355,0,128,89.92,
1360,0,96,92.34,
1365,0,98,91.4,
1370,0,102,91.5,
1375,0,104,89.99000000000001,
1380,0,100,90.84,
1385,0,100,91.61999999999999,
1390,0,103,90.94999999999999,
1395,0,103,91.25,
1400,0,96,89.61999999999999,
1405,0,98,90.02000000000001,
1410,0,108,90.81,
1415,0,110,91.0,
1420,0,111,90.99,
1425,0,101,89.92,
1430,0,101,91.58999999999999,
1435,0,95,90.14,
1440,0,106,89.82,
1445,0,109,89.75,
1450,0,100,89.5,
1455,0,94,90.11,
1460,0,99,90.73,
1465,0,83,89.63,
1470,0,86,90.42999999999999,
1475,0,103,90.04,
1480,0,109,91.24,
1485,0,117,90.13,
1490,0,103,90.44,
1495,0,99,90.83,
1500,0,95,90.15,
1505,0,91,89.83,
1510,0,100,91.85,
1515,0,99,90.64,
1520,0,97,89.87,
1525,0,88,90.49,
1530,0,102,90.07,
1535,0,109,91.19,
1540,0,92,91.25,
1545,0,94,90.32,
1550,0,96,89.99000000000001,
1555,0,101,91.28,
1560,0,108,90.89,
1565,0,98,90.97,
1570,0,97,90.08,
1575,0,100,90.72,
1580,0,100,89.86,
1585,0,102,90.89999999999999,
1590,0,105,91.11,
1595,0,112,91.01,
1600,0,106,90.54,
1605,0,101,90.67,
1610,0,116,91.61,
1615,0,108,89.46,
1620,0,90,90.59,
1625,0,90,90.09,
1630,0,103,90.97,
1635,0,112,91.38000000000001,
1640,0,97,90.49,
1645,0,102,91.09,
1650,0,101,90.23,
1655,0,116,89.42,
1660,0,89,90.53,
1665,0,104,90.97999999999999,
1670,0,101,90.55,
1675,0,114,90.98,
1680,0,115,91.0,
1685,0,112,91.08,
1690,0,99,89.8,
1695,0,91,91.03999999999999,
1700,0,98,91.02000000000001,
1705,0,100,90.5,
1710,0,103,90.69999999999999,
1715,0,109,91.61999999999999,
1720,0,115,90.41,
1725,0,102,91.25,
1730,0,105,91.01,
1735,0,112,91.62,
1740,0,114,91.05,
1745,0,90,90.91,
1750,0,108,90.85000000000001,
1755,0,102,90.04,
1760,0,100,89.51,
1765,0,110,90.08999999999999,
1770,0,98,91.49,
1775,0,98,90.66999999999999,
1780,0,118,91.48,
1785,0,113,90.99,
1790,0,108,91.19999999999999,
1795,0,98,91.73,
1800,0,108,90.05,
1805,0,109,92.89,
1810,0,103,90.58,
1815,0,95,91.3,
1820,0,95,90.61,
1825,0,106,90.6,
1830,0,114,91.24000000000001,
1835,0,98,90.25999999999999,
1840,0,115,90.71,
1845,0,113,90.47,
1850,0,105,90.7,
1855,0,114,91.27,
1860,0,108,90.89,
1865,0,104,91.27,
1870,0,104,90.63000000000001,
1875,0,95,91.17999999999999,
1880,0,110,89.55,
1885,0,100,90.13,
1890,0,104,90.9,
1895,0,106,90.07000000000001,
