episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,93.11,
210,0,24,93.72,
215,0,22,93.51,
220,0,24,94.12,
225,0,25,93.83999999999999,
230,0,20,92.92,
235,0,34,92.30999999999999,
240,0,27,93.7,
245,0,25,93.25,
250,0,22,93.26,
255,0,27,93.46000000000001,
260,0,23,93.64,
265,0,24,92.25,
270,0,65,91.04,
275,0,38,92.55,
280,0,38,93.11999999999999,
285,0,42,93.58,
290,0,39,93.24000000000001,
295,0,38,92.17,
300,0,43,92.58,
305,0,31,92.07,
310,0,38,91.42999999999999,
315,0,37,92.16999999999999,
320,0,42,92.85,
325,0,45,93.13,
330,0,71,90.84,
335,0,48,91.73,
340,0,44,90.63,
345,0,42,91.00999999999999,
350,0,40,90.88000000000001,
355,0,43,91.1,
360,0,43,91.74,
365,0,43,92.84,
370,0,49,91.97999999999999,
375,0,49,90.85,
380,0,43,91.26,
385,0,50,91.99,
390,0,48,90.44,
395,0,70,92.02000000000001,
400,0,40,92.3,
405,0,43,91.05,
410,0,37,92.09,
415,0,48,90.36,
420,0,36,91.36,
425,0,43,92.18,
430,0,37,90.69,
435,0,43,91.64999999999999,
440,0,43,91.48,
445,0,47,90.67999999999999,
450,0,48,91.25999999999999,
455,0,41,90.77,
460,0,45,91.25,
465,0,40,90.02999999999999,
470,0,34,90.62,
475,0,19,91.34,
480,0,30,90.63000000000001,
485,0,30,90.46000000000001,
490,0,27,91.42999999999999,
495,0,32,90.69,
500,0,32,90.21000000000001,
505,0,28,90.96,
510,0,35,90.69,
515,0,29,90.67999999999999,
520,0,33,91.44000000000001,
525,0,36,91.23,
530,0,22,91.72999999999999,
535,0,28,90.65,
540,0,27,91.28999999999999,
545,0,22,90.74000000000001,
550,0,24,89.72,
555,0,26,90.08,
560,0,24,90.06,
565,0,19,91.78999999999999,
570,0,22,90.25999999999999,
575,0,19,91.37,
580,0,25,90.8,
585,0,23,90.44,
590,0,24,91.13000000000001,
595,0,18,90.64,
600,0,18,91.58,
605,0,20,90.16,
610,0,23,90.65,
615,0,25,89.97,
620,0,22,90.22,
625,0,19,90.75,
630,0,17,92.35000000000001,
635,0,21,90.02,
640,0,23,90.79,
645,0,23,91.76,
650,0,20,91.82000000000001,
655,0,18,90.28,
660,0,16,90.36,
665,0,14,90.87,
670,0,14,90.68,
675,0,16,91.0,
680,0,13,90.29,
685,0,14,90.51,
690,0,17,91.58,
695,0,16,91.52000000000001,
700,0,17,91.15,
705,0,10,90.52,
710,0,14,91.0,
715,0,17,90.44,
720,0,13,90.89,
725,0,16,90.56,
730,0,16,90.44,
735,0,14,91.5,
740,0,12,91.21000000000001,
745,0,14,90.2,
750,0,11,91.69,
755,0,15,90.69999999999999,
760,0,7,90.24000000000001,
765,0,12,89.81,
770,0,12,92.68,
775,0,13,90.3,
780,0,13,91.79,
785,0,9,90.53,
790,0,9,89.94999999999999,
795,0,12,90.16999999999999,
800,0,10,90.53999999999999,
805,0,7,90.67999999999999,
810,0,10,89.36,
815,0,8,90.47,
820,0,9,89.91,
825,0,16,90.89999999999999,
830,0,13,91.38,
835,0,11,91.25,
840,0,10,90.48,
845,0,15,90.73,
850,0,11,91.42999999999999,
855,0,13,91.89,
860,0,12,90.61,
865,0,16,91.41,
870,0,15,89.5,
875,0,16,90.72,
880,0,11,90.85,
885,0,12,92.12,
890,0,10,90.64,
895,0,11,90.59,
900,0,11,90.92,
905,0,9,90.30999999999999,
910,0,10,90.03,
915,0,10,92.13000000000001,
920,0,13,90.28999999999999,
925,0,12,90.62,
930,0,11,91.41,
935,0,11,89.94,
940,0,13,90.72,
945,0,8,90.52,
950,0,11,89.63,
955,0,9,90.36,
960,0,11,90.83,
965,0,11,91.26,
970,0,13,90.13,
975,0,8,89.99,
980,0,9,90.28,
985,0,9,90.83000000000001,
990,0,12,90.39,
995,0,12,89.37,
1000,0,13,91.76,
1005,0,13,90.14,
1010,0,12,90.48,
1015,0,9,90.22,
1020,0,9,91.03,
1025,0,11,90.66,
1030,0,10,90.16,
1035,0,12,90.7,
1040,0,9,90.71,
1045,0,10,90.01,
1050,0,10,89.69,
1055,0,10,91.22999999999999,
1060,0,12,90.11,
1065,0,15,90.17,
1070,0,15,90.49,
1075,0,15,90.18,
1080,0,17,91.44,
1085,0,14,89.30999999999999,
1090,0,11,89.89999999999999,
1095,0,17,90.09,
1100,0,15,89.83999999999999,
1105,0,15,91.80999999999999,
1110,0,8,91.08,
1115,0,10,90.01,
1120,0,12,89.52,
1125,0,12,91.07,
1130,0,10,90.08,
1135,0,8,91.31,
1140,0,12,90.50999999999999,
1145,0,9,90.41,
1150,0,13,90.26,
1155,0,10,90.38,
1160,0,13,90.39,
1165,0,15,90.49,
1170,0,11,91.47,
1175,0,11,90.2,
1180,0,10,90.12,
1185,0,9,90.52000000000001,
1190,0,13,91.75,
1195,0,13,90.5,
1200,0,13,90.32,
1205,0,10,90.71,
1210,0,11,91.17999999999999,
1215,0,11,90.60000000000001,
1220,0,6,90.73,
1225,0,8,91.22,
1230,0,11,90.57,
1235,0,12,90.14999999999999,
1240,0,9,89.72,
1245,0,9,91.92999999999999,
1250,0,9,90.22,
1255,0,13,90.86,
1260,0,10,90.17,
1265,0,14,90.89,
1270,0,13,91.09,
1275,0,12,90.46,
1280,0,15,89.89,
1285,0,9,90.67999999999999,
1290,0,5,89.79,
1295,0,7,89.5,
1300,0,4,90.03999999999999,
1305,0,10,91.28,
1310,0,10,90.39,
1315,0,8,90.30999999999999,
1320,0,10,90.39,
1325,0,12,91.23,
1330,0,9,90.27,
1335,0,8,90.69,
1340,0,6,90.46,
1345,0,9,90.81,
1350,0,12,91.35,
1355,0,13,89.66,
1360,0,8,89.5,
1365,0,10,90.69,
1370,0,5,90.1,
1375,0,6,90.59,
1380,0,11,91.27,
1385,0,11,90.73,
1390,0,14,90.71,
1395,0,12,90.97,
1400,0,13,89.81,
1405,0,11,89.85,
1410,0,9,90.19,
1415,0,10,90.74000000000001,
1420,0,10,91.12,
1425,0,12,89.60000000000001,
1430,0,11,90.72,
1435,0,11,91.14,
1440,0,9,91.02000000000001,
1445,0,10,90.99000000000001,
1450,0,4,90.36,
1455,0,9,89.98,
1460,0,12,90.59,
1465,0,13,90.42999999999999,
1470,0,9,90.96,
1475,0,9,90.55,
1480,0,7,90.47,
1485,0,14,91.26,
1490,0,16,90.32000000000001,
1495,0,12,91.92,
1500,0,14,91.03,
1505,0,14,90.78,
1510,0,9,90.53999999999999,
1515,0,7,89.69999999999999,
1520,0,13,90.5,
1525,0,10,89.36,
1530,0,6,90.14,
1535,0,8,91.23,
1540,0,11,89.7,
1545,0,11,90.03999999999999,
1550,0,14,90.10000000000001,
1555,0,7,89.53,
1560,0,5,90.58,
1565,0,10,90.24,
1570,0,8,89.76,
1575,0,10,90.33,
1580,0,15,89.17,
1585,0,14,89.98,
1590,0,12,88.94,
1595,0,7,91.08,
1600,0,9,89.48,
1605,0,9,89.47,
1610,0,13,89.83,
1615,0,12,90.77000000000001,
1620,0,5,89.41,
1625,0,11,90.11,
1630,0,12,90.88999999999999,
1635,0,6,89.68,
1640,0,7,90.92999999999999,
1645,0,9,90.44,
1650,0,7,90.46,
1655,0,10,90.99,
1660,0,13,90.03,
1665,0,12,89.78999999999999,
1670,0,15,89.82,
1675,0,11,90.44,
1680,0,5,90.86,
1685,0,6,90.64,
1690,0,11,90.69,
1695,0,6,89.96000000000001,
1700,0,6,90.04,
1705,0,9,90.72,
1710,0,12,90.77000000000001,
1715,0,9,91.17,
1720,0,9,89.75999999999999,
1725,0,13,89.42999999999999,
1730,0,5,90.25,
1735,0,13,89.86,
1740,0,15,91.39,
1745,0,6,89.88000000000001,
1750,0,7,90.11999999999999,
1755,0,9,90.29,
1760,0,7,90.31,
1765,0,9,90.8,
1770,0,10,90.96000000000001,
1775,0,6,90.82000000000001,
1780,0,7,89.77,
1785,0,7,90.88999999999999,
1790,0,6,90.55,
1795,0,8,89.89,
1800,0,6,89.6,
1805,0,8,89.82000000000001,
1810,0,9,90.42999999999999,
1815,0,5,91.7,
1820,0,6,90.77000000000001,
1825,0,10,89.96,
1830,0,11,90.61,
1835,0,8,90.72999999999999,
1840,0,8,90.57000000000001,
1845,0,6,90.67,
1850,0,9,90.10000000000001,
1855,0,6,90.09,
1860,0,8,90.67,
1865,0,9,91.28,
1870,0,4,91.24,
1875,0,6,90.17999999999999,
1880,0,8,90.14,
1885,0,9,90.39999999999999,
