episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,91.58999999999999,
210,0,334,93.88,
215,0,304,92.97,
220,0,322,93.83999999999999,
225,0,310,93.05,
230,0,316,91.94,
235,0,306,91.85,
240,0,302,92.97999999999999,
245,0,292,93.53999999999999,
250,0,304,90.99,
255,0,312,92.69,
260,0,321,92.92,
265,0,307,91.66,
270,0,312,92.57,
275,0,307,92.08,
280,0,311,92.67999999999999,
285,0,322,93.5,
290,0,311,91.99,
295,0,309,93.24,
300,0,308,91.81,
305,0,300,91.86,
310,0,298,92.15,
315,0,318,92.42999999999999,
320,0,309,90.96,
325,0,303,90.99,
330,0,298,90.97,
335,0,311,91.9,
340,0,311,92.03,
345,0,309,91.88,
350,0,285,93.1,
355,0,323,92.29,
360,0,289,90.99000000000001,
365,0,310,91.5,
370,0,300,92.3,
375,0,313,90.81,
380,0,310,91.96000000000001,
385,0,300,92.0,
390,0,310,91.64,
395,0,282,91.54,
400,0,295,91.22,
405,0,296,90.96,
410,0,298,91.78,
415,0,292,91.28,
420,0,285,89.81,
425,0,304,91.71,
430,0,290,90.61,
435,0,291,90.25,
440,0,294,92.23,
445,0,306,90.97999999999999,
450,0,301,90.5,
455,0,306,90.83,
460,0,292,90.46,
465,0,289,89.85000000000001,
470,0,291,91.4,
475,0,285,89.79,
480,0,283,90.33,
485,0,299,91.51,
490,0,265,90.46,
495,0,294,90.55000000000001,
500,0,301,91.51,
505,0,300,91.36,
510,0,307,91.91,
515,0,288,90.68,
520,0,292,89.85,
525,0,280,88.34,
530,0,283,92.33000000000001,
535,0,269,90.5,
540,0,275,91.71000000000001,
545,0,280,90.91,
550,0,299,91.72999999999999,
555,0,292,90.55999999999999,
560,0,281,89.09,
565,0,276,91.99,
570,0,272,90.42,
575,0,273,90.94,
580,0,273,88.25,
585,0,265,89.81,
590,0,272,90.63,
595,0,274,89.32,
600,0,268,90.17999999999999,
605,0,268,90.38,
610,0,269,89.97999999999999,
615,0,270,90.07,
620,0,282,89.6,
625,0,267,89.63,
630,0,260,89.51,
635,0,273,90.01,
640,0,289,89.62,
645,0,280,90.53,
650,0,255,89.02000000000001,
655,0,262,89.74000000000001,
660,0,282,90.16,
665,0,273,91.17999999999999,
670,0,264,90.25999999999999,
675,0,268,90.08,
680,0,252,88.89999999999999,
685,0,263,89.7,
690,0,246,88.99,
695,0,263,89.17,
700,0,251,88.78,
705,0,263,91.03999999999999,
710,0,250,89.95,
715,0,266,90.32,
720,0,253,89.0,
725,0,248,90.22,
730,0,248,89.52000000000001,
735,0,260,90.25,
740,0,256,88.2,
745,0,242,90.0,
750,0,255,90.35000000000001,
755,0,256,89.66,
760,0,260,89.73,
765,0,260,90.03,
770,0,266,89.53999999999999,
775,0,264,89.03999999999999,
780,0,235,90.12,
785,0,263,89.16999999999999,
790,0,236,88.21000000000001,
795,0,248,89.59,
800,0,234,90.11999999999999,
805,0,248,90.47999999999999,
810,0,254,90.06,
815,0,244,89.69,
820,0,246,90.01,
825,0,237,88.7,
830,0,237,89.85,
835,0,233,88.92,
840,0,238,88.76,
845,0,255,89.05999999999999,
850,0,257,88.25,
855,0,259,90.94,
860,0,230,88.86,
865,0,223,88.46,
870,0,220,88.09,
875,0,248,90.05,
880,0,240,89.61,
885,0,213,87.47,
890,0,219,89.08,
895,0,231,89.93,
900,0,240,88.93,
905,0,227,88.27,
910,0,229,87.86,
915,0,213,88.75999999999999,
920,0,218,89.07000000000001,
925,0,223,87.61,
930,0,215,89.46,
935,0,216,89.05,
940,0,235,89.19,
945,0,215,88.44,
950,0,216,87.91,
955,0,208,88.83,
960,0,218,89.37,
965,0,221,88.72,
970,0,209,88.04,
975,0,219,89.17,
980,0,217,88.07,
985,0,222,89.44999999999999,
990,0,221,89.72,
995,0,211,88.05999999999999,
1000,0,205,88.17,
1005,0,221,87.97,
1010,0,215,88.81,
1015,0,220,90.13,
1020,0,230,89.91,
1025,0,211,88.69,
1030,0,214,88.45,
1035,0,241,88.87,
1040,0,216,88.32,
1045,0,210,87.97,
1050,0,202,89.14,
1055,0,207,88.07,
1060,0,202,87.64,
1065,0,208,89.58,
1070,0,217,88.92,
1075,0,195,89.35000000000001,
1080,0,208,88.61999999999999,
1085,0,201,88.66,
1090,0,215,87.81,
1095,0,217,87.71,
1100,0,212,87.56,
1105,0,206,88.61,
1110,0,220,88.43,
1115,0,202,87.31,
1120,0,209,88.28999999999999,
1125,0,212,87.38,
1130,0,199,88.03,
1135,0,217,88.37,
1140,0,203,87.82,
1145,0,188,87.61000000000001,
1150,0,197,88.22,
1155,0,182,88.65,
1160,0,202,88.97999999999999,
1165,0,222,88.29,
1170,0,208,89.19999999999999,
1175,0,185,88.07000000000001,
1180,0,195,89.44,
1185,0,206,87.09,
1190,0,198,87.79,
1195,0,183,89.53,
1200,0,195,88.55000000000001,
1205,0,209,88.61,
1210,0,194,87.41,
1215,0,189,88.34,
1220,0,188,88.32,
1225,0,190,87.67,
1230,0,193,87.94000000000001,
1235,0,204,89.97,
1240,0,199,87.7,
1245,0,183,86.5,
1250,0,202,87.34,
1255,0,198,88.81,
1260,0,172,88.39,
1265,0,191,88.49000000000001,
1270,0,174,89.11,
1275,0,202,89.14,
1280,0,203,89.99000000000001,
1285,0,216,89.07,
1290,0,192,88.72999999999999,
1295,0,172,88.56,
1300,0,196,89.25999999999999,
1305,0,194,88.50999999999999,
1310,0,188,87.27,
1315,0,192,88.28999999999999,
1320,0,197,89.06,
1325,0,184,87.59,
1330,0,176,87.75,
1335,0,191,87.93,
1340,0,186,87.32,
1345,0,172,86.93,
1350,0,187,87.72,
1355,0,179,88.81,
1360,0,194,89.52,
1365,0,171,87.99,
1370,0,188,88.51,
1375,0,183,88.52,
1380,0,171,87.97,
1385,0,188,88.41000000000001,
1390,0,187,87.51,
1395,0,181,88.72999999999999,
1400,0,181,88.02,
1405,0,179,87.67,
1410,0,176,87.84,
1415,0,184,88.32,
1420,0,194,87.16000000000001,
1425,0,186,87.42999999999999,
1430,0,195,88.04,
1435,0,172,87.8,
1440,0,177,87.03,
1445,0,185,88.01,
1450,0,163,88.17999999999999,
1455,0,176,88.32000000000001,
1460,0,172,87.19,
1465,0,181,87.89,
1470,0,178,89.67,
1475,0,172,88.68,
1480,0,188,87.77,
1485,0,169,88.01,
1490,0,186,88.48,
1495,0,192,87.91999999999999,
1500,0,175,87.68,
1505,0,177,86.87,
1510,0,182,88.39,
1515,0,175,86.52000000000001,
1520,0,174,88.22,
1525,0,180,88.39,
1530,0,170,88.25,
1535,0,175,88.52,
1540,0,181,88.16,
1545,0,172,88.0,
1550,0,181,88.23,
1555,0,168,87.92999999999999,
1560,0,171,88.63000000000001,
1565,0,161,88.83,
1570,0,166,86.79,
1575,0,158,88.14,
1580,0,177,86.69,
1585,0,171,89.31,
1590,0,166,88.14,
1595,0,157,87.03,
1600,0,150,87.46000000000001,
1605,0,167,87.27,
1610,0,165,87.79,
1615,0,160,87.29,
1620,0,164,87.30000000000001,
1625,0,167,87.25999999999999,
1630,0,176,87.53,
1635,0,163,88.69,
1640,0,167,87.72,
1645,0,166,87.17,
1650,0,159,87.65,
1655,0,156,87.64,
1660,0,156,87.62,
1665,0,150,88.73,
1670,0,179,87.58,
1675,0,184,87.66,
1680,0,173,87.1,
1685,0,164,87.25,
1690,0,169,87.36,
1695,0,164,87.44,
1700,0,156,87.97,
1705,0,175,87.43,
1710,0,166,87.75999999999999,
1715,0,177,87.07000000000001,
1720,0,187,86.88,
1725,0,172,88.64999999999999,
1730,0,171,87.06,
1735,0,166,88.32000000000001,
1740,0,181,88.60000000000001,
1745,0,169,87.6,
1750,0,155,88.19,
1755,0,170,88.77,
1760,0,176,87.51,
1765,0,169,87.81,
1770,0,175,87.71,
1775,0,177,87.53,
1780,0,168,87.80000000000001,
1785,0,163,87.98,
1790,0,183,87.13,
1795,0,162,87.78999999999999,
1800,0,166,87.04,
1805,0,177,87.31,
1810,0,176,89.03,
1815,0,166,87.05,
1820,0,160,87.45,
1825,0,162,88.06,
1830,0,172,88.95,
1835,0,163,87.91,
1840,0,160,87.69,
1845,0,162,87.47,
1850,0,168,86.5,
1855,0,172,87.80999999999999,
1860,0,169,87.18,
1865,0,153,87.29,
1870,0,161,87.10000000000001,
1875,0,144,87.38,
1880,0,144,87.28,
1885,0,152,87.92,
1890,0,146,87.87,
1895,0,153,87.85000000000001,
1900,0,152,87.83,
1905,0,163,87.89,
1910,0,166,87.84,
1915,0,152,87.41,
1920,0,159,87.29,
1925,0,146,87.49,
1930,0,176,87.59,
1935,0,162,87.0,
1940,0,149,87.44,
1945,0,160,88.53,
1950,0,152,87.44,
1955,0,163,88.39,
1960,0,155,87.05,
1965,0,151,87.44000000000001,
1970,0,164,87.35,
1975,0,147,87.50999999999999,
1980,0,157,87.51,
1985,0,165,87.55,
1990,0,155,87.02,
1995,0,163,89.16,
2000,0,156,87.77,
2005,0,150,87.94,
2010,0,153,86.53,
2015,0,167,87.43,
2020,0,175,87.4,
2025,0,164,86.32000000000001,
2030,0,157,86.79,
2035,0,161,88.58,
2040,0,156,87.22999999999999,
2045,0,151,87.23,
2050,0,163,86.79,
2055,0,154,86.84,
2060,0,155,87.6,
2065,0,159,87.43,
2070,0,160,86.92999999999999,
2075,0,161,86.81,
2080,0,165,86.96,
2085,0,161,87.83999999999999,
2090,0,161,86.31,
2095,0,152,88.52000000000001,
2100,0,146,86.21000000000001,
2105,0,149,86.53,
2110,0,160,87.7,
2115,0,158,86.47,
2120,0,158,87.0,
2125,0,154,87.85,
2130,0,158,86.42,
2135,0,162,87.86999999999999,
2140,0,159,86.62,
2145,0,159,87.48,
2150,0,161,87.2,
2155,0,144,87.52000000000001,
2160,0,152,87.45,
2165,0,156,88.01,
2170,0,146,87.45,
2175,0,156,87.67,
2180,0,151,87.64,
2185,0,162,87.44999999999999,
2190,0,163,86.67999999999999,
2195,0,162,87.12,
2200,0,143,87.69000000000001,
2205,0,149,87.28,
2210,0,159,87.85000000000001,
2215,0,159,87.78,
2220,0,149,86.27,
2225,0,154,86.69,
2230,0,134,88.14,
2235,0,134,86.83999999999999,
2240,0,148,87.21,
2245,0,142,87.78,
2250,0,151,87.65,
2255,0,158,88.41,
2260,0,157,86.84,
2265,0,165,87.25,
2270,0,164,87.05,
2275,0,147,87.01,
2280,0,148,86.98,
2285,0,165,87.26,
2290,0,172,87.77000000000001,
2295,0,164,87.35,
2300,0,152,87.75999999999999,
2305,0,157,87.16,
2310,0,163,87.12,
2315,0,155,87.0,
2320,0,156,87.9,
2325,0,168,87.66,
2330,0,165,87.69,
2335,0,166,87.09,
2340,0,172,86.22,
2345,0,162,89.44,
2350,0,163,87.01,
2355,0,158,88.05000000000001,
2360,0,139,88.01,
2365,0,144,87.19,
2370,0,170,87.72,
2375,0,150,87.83999999999999,
2380,0,153,87.53,
2385,0,147,86.96,
2390,0,158,87.54,
2395,0,150,86.97,
2400,0,148,86.30000000000001,
2405,0,146,88.41,
2410,0,148,87.15,
2415,0,150,87.24,
2420,0,161,87.28999999999999,
2425,0,136,86.10000000000001,
2430,0,158,86.72,
2435,0,150,86.47,
2440,0,164,86.83,
2445,0,158,87.17999999999999,
2450,0,160,86.01,
2455,0,152,87.57000000000001,
2460,0,140,86.39,
