episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,94.48,
210,0,300,92.17,
215,0,315,92.83,
220,0,310,93.33999999999999,
225,0,318,92.88,
230,0,287,93.64,
235,0,313,93.72,
240,0,306,92.49,
245,0,321,92.52000000000001,
250,0,309,91.71000000000001,
255,0,310,93.06,
260,0,319,93.09,
265,0,311,92.54,
270,0,313,94.72,
275,0,322,92.78,
280,0,311,92.31,
285,0,315,91.6,
290,0,302,93.23,
295,0,326,93.52999999999999,
300,0,322,91.17,
305,0,296,93.33999999999999,
310,0,319,93.38000000000001,
315,0,310,92.31,
320,0,300,92.38000000000001,
325,0,312,94.03999999999999,
330,0,295,92.61,
335,0,309,92.86,
340,0,304,92.58,
345,0,319,92.72,
350,0,308,93.7,
355,0,313,93.12,
360,0,311,92.2,
365,0,300,92.88,
370,0,300,94.17,
375,0,311,92.66,
380,0,296,93.67999999999999,
385,0,305,92.99,
390,0,320,93.0,
395,0,310,92.74000000000001,
400,0,323,92.99000000000001,
405,0,316,94.07,
410,0,309,94.68,
415,0,311,92.68,
420,0,297,94.36,
425,0,327,92.41,
430,0,293,93.01,
435,0,308,93.32000000000001,
440,0,312,93.74000000000001,
445,0,315,93.11,
450,0,308,92.63000000000001,
455,0,321,93.45,
460,0,292,92.25999999999999,
465,0,319,93.26,
470,0,324,92.39,
475,0,298,92.61999999999999,
480,0,304,92.71,
485,0,339,91.82000000000001,
490,0,315,92.27,
495,0,321,94.46,
500,0,308,93.14,
