episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,94.34,
210,0,28,93.5,
215,0,24,94.02,
220,0,21,93.94,
225,0,22,93.75,
230,0,20,94.2,
235,0,18,94.62,
240,0,28,94.50999999999999,
245,0,26,94.33999999999999,
250,0,28,94.53,
255,0,22,93.7,
260,0,24,94.02,
265,0,41,93.82000000000001,
270,0,44,94.25999999999999,
275,0,28,93.37,
280,0,33,94.36,
285,0,39,93.71,
290,0,33,94.0,
295,0,33,95.03,
300,0,35,93.09,
305,0,30,95.02,
310,0,36,93.67999999999999,
315,0,34,92.28999999999999,
320,0,33,93.98,
325,0,40,95.16,
330,0,56,92.29,
335,0,36,94.0,
340,0,46,93.34,
345,0,45,93.17,
350,0,53,92.6,
355,0,50,92.52000000000001,
360,0,56,93.15,
365,0,44,93.63,
370,0,48,94.72,
375,0,53,92.64999999999999,
380,0,50,93.18,
385,0,42,93.33,
390,0,36,95.47,
395,0,54,94.11,
400,0,36,94.1,
405,0,43,94.17,
410,0,54,92.89,
415,0,58,93.17,
420,0,49,92.96000000000001,
425,0,51,93.39999999999999,
430,0,49,93.58,
435,0,55,92.41,
440,0,52,92.78999999999999,
445,0,60,91.98,
450,0,46,93.29,
455,0,50,92.10000000000001,
460,0,52,92.43,
465,0,42,92.80000000000001,
470,0,52,91.43,
475,0,44,91.99,
480,0,41,92.09,
485,0,50,92.7,
490,0,48,92.16999999999999,
495,0,52,90.53,
500,0,35,92.55,
505,0,42,91.78,
510,0,41,91.65,
515,0,42,92.88000000000001,
520,0,47,93.72999999999999,
525,0,51,91.97,
530,0,36,93.61,
535,0,48,91.99,
540,0,40,91.75,
545,0,38,92.47,
550,0,44,91.88,
555,0,40,92.79,
560,0,38,91.94999999999999,
565,0,42,92.62,
570,0,43,92.6,
575,0,51,92.93,
580,0,44,93.94,
585,0,48,93.27,
590,0,37,90.72,
595,0,38,91.65,
600,0,34,92.38,
605,0,38,92.63,
610,0,39,92.54,
615,0,35,92.44,
620,0,36,90.66,
625,0,48,93.25,
630,0,41,92.17999999999999,
635,0,39,91.33999999999999,
640,0,38,92.08,
645,0,39,92.37,
650,0,43,92.67,
655,0,39,92.0,
660,0,34,90.82000000000001,
665,0,36,92.41,
670,0,36,91.92,
675,0,32,90.66,
680,0,37,91.86,
685,0,45,91.75999999999999,
690,0,35,91.34,
695,0,34,93.25,
700,0,33,91.17,
705,0,40,91.73,
710,0,47,91.74,
715,0,35,92.39,
720,0,37,91.3,
725,0,31,91.86,
730,0,28,91.71,
735,0,36,92.06,
740,0,39,92.49,
745,0,39,92.29,
750,0,33,92.09,
755,0,29,91.25,
760,0,39,92.06,
765,0,36,91.45,
770,0,34,92.39999999999999,
775,0,37,90.94000000000001,
780,0,37,91.26,
785,0,32,93.66,
790,0,28,92.18,
795,0,25,92.2,
800,0,29,91.0,
805,0,31,93.64,
810,0,42,91.44,
815,0,38,90.92999999999999,
820,0,29,92.6,
825,0,21,90.75,
830,0,28,91.79,
835,0,28,91.26,
840,0,29,91.37,
845,0,28,92.32000000000001,
850,0,17,91.19,
855,0,27,90.65,
860,0,27,90.55000000000001,
865,0,23,91.59,
870,0,26,92.09,
875,0,29,91.39,
880,0,28,91.08,
885,0,24,90.81,
890,0,33,91.43,
895,0,31,91.19999999999999,
900,0,35,92.24000000000001,
905,0,36,91.21,
910,0,24,90.62,
915,0,22,90.9,
920,0,24,91.39,
925,0,32,91.61,
930,0,33,91.36999999999999,
935,0,23,91.81,
940,0,37,91.85,
945,0,30,91.96,
950,0,20,91.49,
955,0,35,90.61,
960,0,29,90.95,
965,0,29,91.88,
970,0,32,90.42,
975,0,30,90.62,
980,0,29,90.57000000000001,
985,0,36,91.67999999999999,
990,0,25,90.76,
995,0,28,91.33,
1000,0,29,91.89,
1005,0,26,90.67999999999999,
1010,0,26,92.11,
1015,0,30,91.12,
1020,0,30,90.86,
1025,0,30,92.06,
1030,0,23,90.97999999999999,
1035,0,31,91.08,
1040,0,23,92.02000000000001,
1045,0,19,91.44,
1050,0,22,91.4,
1055,0,24,91.38,
1060,0,28,90.64999999999999,
1065,0,25,90.42,
1070,0,28,90.2,
1075,0,24,91.69,
1080,0,25,91.02,
1085,0,27,91.51,
1090,0,17,91.47,
1095,0,18,90.35,
1100,0,27,91.27,
1105,0,22,90.63,
1110,0,22,91.58,
1115,0,16,90.97,
1120,0,20,91.42999999999999,
1125,0,22,90.21,
1130,0,15,91.22,
1135,0,19,91.69999999999999,
1140,0,25,91.69999999999999,
1145,0,23,91.34,
1150,0,23,92.22,
1155,0,19,91.72999999999999,
1160,0,22,91.38000000000001,
1165,0,27,91.23,
1170,0,19,91.23,
1175,0,27,91.07,
1180,0,27,92.03999999999999,
1185,0,26,91.33,
1190,0,24,90.65,
1195,0,24,90.88,
1200,0,19,90.41999999999999,
1205,0,24,89.99,
1210,0,28,90.48,
1215,0,25,91.0,
1220,0,21,92.02999999999999,
1225,0,23,90.17,
1230,0,27,90.19,
1235,0,20,91.45,
1240,0,22,90.56,
1245,0,23,90.8,
1250,0,22,90.14999999999999,
1255,0,23,90.26,
1260,0,19,90.41,
1265,0,25,91.47,
1270,0,30,91.3,
1275,0,26,90.91999999999999,
1280,0,29,91.3,
1285,0,19,91.95,
1290,0,29,91.16,
1295,0,21,91.53,
1300,0,26,91.26,
1305,0,27,90.92999999999999,
1310,0,30,91.54,
1315,0,19,92.64999999999999,
1320,0,29,90.66999999999999,
1325,0,23,90.72,
1330,0,19,91.25,
1335,0,25,92.01,
1340,0,25,90.42,
1345,0,23,91.09,
1350,0,21,90.60000000000001,
1355,0,28,90.32,
1360,0,24,90.31,
1365,0,29,90.77,
1370,0,17,89.66,
1375,0,22,90.8,
1380,0,26,91.28,
1385,0,24,91.17,
1390,0,30,90.42999999999999,
1395,0,22,91.46,
1400,0,25,90.54,
1405,0,24,91.01,
1410,0,13,91.37,
1415,0,16,92.36999999999999,
1420,0,23,91.11,
1425,0,18,90.43,
1430,0,16,90.77,
1435,0,16,91.73,
1440,0,17,91.32,
1445,0,23,91.14,
1450,0,20,91.33,
1455,0,26,90.77000000000001,
1460,0,22,91.19,
1465,0,22,92.14,
1470,0,16,90.66,
1475,0,22,92.43,
1480,0,12,91.55,
1485,0,21,91.09,
1490,0,20,92.31,
1495,0,19,90.22,
1500,0,19,90.17999999999999,
1505,0,17,91.8,
1510,0,16,91.09,
1515,0,17,91.32000000000001,
1520,0,20,90.55,
1525,0,17,90.55000000000001,
1530,0,24,91.56,
1535,0,29,91.14,
1540,0,20,91.08,
1545,0,21,91.18,
1550,0,24,91.33,
1555,0,24,91.16,
1560,0,15,92.11,
1565,0,21,90.53999999999999,
1570,0,22,91.44999999999999,
1575,0,25,92.05000000000001,
1580,0,18,90.21,
1585,0,12,90.8,
1590,0,18,90.38,
1595,0,19,91.57000000000001,
1600,0,20,92.42999999999999,
1605,0,18,90.52,
1610,0,24,92.27,
1615,0,22,90.86,
1620,0,18,91.55,
1625,0,22,91.69,
1630,0,28,91.17,
1635,0,20,89.78,
1640,0,18,91.72,
1645,0,24,90.01,
1650,0,22,90.83999999999999,
1655,0,23,93.01,
1660,0,25,91.07000000000001,
1665,0,23,90.42,
1670,0,21,91.77999999999999,
1675,0,26,157.21,
1680,0,20,91.86,
1685,0,25,90.11,
1690,0,27,90.0,
1695,0,14,90.94,
1700,0,21,90.36,
1705,0,22,90.66000000000001,
1710,0,17,89.4,
1715,0,15,91.31,
1720,0,18,90.74,
1725,0,21,91.86,
1730,0,24,91.65,
1735,0,19,91.25,
1740,0,20,92.32,
1745,0,20,90.4,
1750,0,13,91.02,
