episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,92.47,
210,0,308,93.31,
215,0,317,93.05999999999999,
220,0,315,92.92,
225,0,300,93.32,
230,0,328,93.22,
235,0,311,94.32000000000001,
240,0,312,93.17,
245,0,317,94.42999999999999,
250,0,304,93.7,
255,0,305,93.61,
260,0,315,93.21,
265,0,288,91.71,
270,0,307,93.64,
275,0,292,92.64,
280,0,317,95.97999999999999,
285,0,311,92.53999999999999,
290,0,308,91.86999999999999,
295,0,311,92.52,
300,0,298,92.45,
305,0,312,92.47999999999999,
310,0,305,92.5,
315,0,300,91.59,
320,0,295,90.69000000000001,
325,0,302,91.27,
330,0,306,91.83,
335,0,289,92.05,
340,0,298,94.71,
345,0,322,93.82,
350,0,301,91.94,
355,0,310,91.87,
360,0,312,92.89,
365,0,306,90.61,
370,0,309,91.71000000000001,
375,0,298,92.06,
380,0,298,92.53,
385,0,307,92.42,
390,0,297,90.92,
395,0,296,91.91,
400,0,282,91.1,
405,0,306,93.58999999999999,
410,0,315,91.61,
415,0,295,91.22,
420,0,309,90.39,
425,0,284,91.88999999999999,
430,0,302,90.42999999999999,
435,0,310,90.72999999999999,
440,0,284,92.86,
445,0,297,91.8,
450,0,292,93.41,
455,0,298,90.04,
460,0,297,93.19,
465,0,298,91.1,
470,0,297,90.45,
475,0,296,91.08,
480,0,293,91.04,
485,0,288,90.98,
490,0,291,91.52,
495,0,297,90.81,
500,0,282,90.76,
505,0,295,91.66999999999999,
510,0,296,90.82000000000001,
515,0,286,92.17,
520,0,286,91.7,
525,0,301,91.39999999999999,
530,0,306,92.08,
535,0,293,92.46,
540,0,290,90.82,
545,0,298,92.28,
550,0,282,90.1,
555,0,294,91.03,
560,0,290,92.72,
565,0,280,89.34,
570,0,286,92.06,
575,0,287,90.17,
580,0,289,90.99000000000001,
585,0,274,90.53999999999999,
590,0,273,90.42999999999999,
595,0,275,91.92,
600,0,277,90.50999999999999,
605,0,291,90.16,
610,0,288,88.89,
615,0,284,90.26,
620,0,295,91.24,
625,0,284,88.97999999999999,
630,0,278,90.08,
635,0,297,91.17999999999999,
640,0,293,91.46000000000001,
645,0,274,89.76,
650,0,290,91.28,
655,0,273,91.22,
660,0,281,89.75999999999999,
665,0,261,91.82000000000001,
670,0,271,91.05,
675,0,285,90.9,
680,0,270,88.69,
685,0,270,90.78999999999999,
690,0,290,89.86,
695,0,284,89.75,
700,0,274,88.89999999999999,
705,0,271,89.39,
710,0,262,90.42,
715,0,268,92.56,
720,0,288,90.89,
725,0,264,90.72999999999999,
730,0,267,91.25,
735,0,286,89.4,
740,0,283,89.23,
745,0,271,90.83999999999999,
750,0,258,90.1,
755,0,268,88.79,
760,0,267,91.07000000000001,
765,0,289,89.47,
770,0,270,89.47,
775,0,265,88.76,
780,0,260,90.19,
785,0,284,88.85000000000001,
790,0,290,91.45,
795,0,269,90.03,
800,0,254,91.15,
805,0,293,90.04,
810,0,266,90.86,
815,0,263,90.26,
820,0,259,89.82,
825,0,248,90.19999999999999,
830,0,247,90.43,
835,0,268,89.72,
840,0,262,90.4,
845,0,259,90.5,
850,0,287,90.29,
855,0,270,90.28,
860,0,263,88.92999999999999,
865,0,264,90.35,
870,0,266,89.44,
875,0,262,89.69,
880,0,251,89.06,
885,0,246,89.4,
890,0,255,89.99,
895,0,244,91.44,
900,0,259,88.98,
905,0,255,90.96000000000001,
910,0,260,88.99,
915,0,259,89.57,
920,0,252,89.48,
925,0,257,90.52999999999999,
930,0,261,90.52000000000001,
935,0,243,89.95,
940,0,248,89.42999999999999,
945,0,251,89.0,
950,0,236,89.79,
955,0,238,89.45,
960,0,240,90.38,
965,0,247,89.89,
970,0,235,90.07,
975,0,240,88.84,
980,0,252,89.80999999999999,
985,0,254,88.27,
990,0,247,89.10000000000001,
995,0,247,88.51,
1000,0,225,89.53,
1005,0,232,90.23,
1010,0,239,90.28,
1015,0,251,88.9,
1020,0,230,87.74000000000001,
1025,0,234,88.69,
1030,0,242,114.05,
1035,0,238,88.92,
1040,0,223,90.14999999999999,
1045,0,238,89.84,
1050,0,226,89.13000000000001,
1055,0,244,88.61,
1060,0,227,90.5,
1065,0,235,89.2,
1070,0,230,88.84,
1075,0,233,88.74,
1080,0,251,88.57,
1085,0,251,89.21,
1090,0,224,89.54,
1095,0,249,89.42,
1100,0,248,88.97999999999999,
1105,0,245,88.61,
1110,0,240,89.36,
1115,0,234,90.78,
1120,0,228,89.89999999999999,
1125,0,218,88.97999999999999,
1130,0,223,88.03,
1135,0,225,88.21000000000001,
1140,0,235,88.77,
1145,0,232,88.8,
1150,0,233,88.72,
1155,0,223,88.53,
1160,0,239,88.9,
1165,0,243,91.09,
1170,0,233,90.31,
1175,0,238,89.8,
1180,0,222,89.73,
1185,0,235,89.76,
1190,0,233,89.39,
1195,0,245,89.3,
1200,0,224,89.36,
1205,0,222,88.45,
1210,0,219,90.07000000000001,
1215,0,221,88.26,
1220,0,218,88.27000000000001,
1225,0,219,88.17,
1230,0,241,89.85,
1235,0,226,88.06,
1240,0,236,90.36999999999999,
1245,0,216,89.22999999999999,
1250,0,217,90.94,
1255,0,217,89.95,
1260,0,235,88.24,
1265,0,232,89.64999999999999,
1270,0,233,88.46,
1275,0,229,89.82,
1280,0,210,87.91,
1285,0,247,88.9,
1290,0,230,89.2,
1295,0,241,88.21000000000001,
1300,0,239,89.49,
1305,0,229,89.05,
1310,0,212,88.42999999999999,
1315,0,216,88.87,
1320,0,215,87.53,
1325,0,222,88.14999999999999,
1330,0,220,88.3,
1335,0,214,87.64999999999999,
1340,0,208,88.4,
1345,0,200,88.86,
1350,0,201,89.17999999999999,
1355,0,212,90.13,
1360,0,213,88.78,
1365,0,223,88.47,
1370,0,212,87.59,
1375,0,211,88.65,
1380,0,218,87.56,
1385,0,214,88.51,
1390,0,238,88.88,
1395,0,241,87.43,
1400,0,219,89.03999999999999,
1405,0,240,87.71,
1410,0,210,89.71,
1415,0,197,88.46000000000001,
1420,0,204,88.75999999999999,
1425,0,208,88.19,
1430,0,201,88.53999999999999,
1435,0,197,88.71000000000001,
1440,0,209,88.84,
1445,0,199,88.07,
1450,0,196,88.59,
1455,0,219,88.44,
1460,0,210,89.05,
1465,0,210,87.96,
1470,0,212,88.41,
1475,0,200,87.78,
1480,0,210,89.81,
1485,0,192,89.28,
1490,0,201,87.93,
1495,0,195,88.69000000000001,
1500,0,197,88.01,
1505,0,187,88.07,
1510,0,209,88.48,
1515,0,198,88.05,
1520,0,201,90.13999999999999,
1525,0,202,87.6,
1530,0,217,88.24,
1535,0,220,89.13,
1540,0,212,88.25999999999999,
1545,0,193,89.0,
1550,0,210,88.71000000000001,
1555,0,197,88.17,
1560,0,188,88.21,
1565,0,199,89.09,
1570,0,199,89.29,
1575,0,206,88.78,
1580,0,202,88.32000000000001,
1585,0,195,89.16000000000001,
1590,0,202,87.78,
1595,0,201,88.03999999999999,
1600,0,184,88.06,
1605,0,185,90.2,
1610,0,200,89.14,
1615,0,188,89.11,
1620,0,195,89.6,
1625,0,201,87.98,
1630,0,204,88.96,
1635,0,201,87.36,
1640,0,211,87.59,
1645,0,214,89.3,
1650,0,196,88.10000000000001,
1655,0,179,87.38,
1660,0,188,88.33,
1665,0,188,90.38,
1670,0,189,89.52,
1675,0,184,88.16,
1680,0,199,88.09,
1685,0,203,88.86,
1690,0,177,88.7,
1695,0,178,89.83,
1700,0,180,88.14,
1705,0,192,88.26,
1710,0,188,87.76,
1715,0,193,87.55000000000001,
1720,0,189,88.53,
1725,0,183,87.2,
1730,0,184,88.59,
1735,0,198,88.85,
1740,0,205,87.68,
1745,0,208,87.7,
1750,0,186,87.62,
1755,0,187,88.2,
1760,0,187,89.23,
1765,0,185,87.87,
1770,0,198,88.61999999999999,
1775,0,203,87.56,
1780,0,193,88.63,
1785,0,186,87.13,
1790,0,187,88.45,
1795,0,192,90.18,
1800,0,199,87.86,
1805,0,179,89.17,
1810,0,198,87.6,
1815,0,206,87.04,
1820,0,196,88.38000000000001,
1825,0,192,87.33,
1830,0,191,89.49,
1835,0,185,87.53,
1840,0,183,88.2,
1845,0,190,88.74,
1850,0,192,87.96,
1855,0,169,88.04,
1860,0,180,87.97,
1865,0,185,87.83,
1870,0,160,88.06,
1875,0,172,89.24000000000001,
1880,0,193,88.31,
1885,0,191,88.44,
1890,0,192,87.94000000000001,
1895,0,193,88.2,
1900,0,180,88.69000000000001,
1905,0,169,88.72999999999999,
1910,0,172,89.02,
1915,0,186,87.72,
1920,0,185,87.08,
