episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
305,518,517,107.41,
310,305,383,108.28,
315,293,374,106.07000000000001,
320,287,388,106.45,
325,288,370,106.47,
330,286,363,108.68,
335,280,382,106.86,
340,290,377,106.16,
345,285,370,107.07,
350,308,367,106.9,
355,289,378,107.36999999999999,
360,290,390,105.76,
365,279,375,105.34,
370,297,387,106.49,
375,295,377,105.14999999999999,
380,286,374,105.18,
385,298,379,106.15,
390,300,367,105.71000000000001,
395,279,381,105.43,
400,300,379,105.4,
405,282,388,105.78,
410,288,382,108.56,
415,288,387,105.95,
420,283,355,104.23,
425,311,386,105.47,
430,323,353,107.18,
435,296,395,106.32000000000001,
440,298,356,106.33,
445,307,378,107.27999999999999,
450,294,378,104.49000000000001,
455,300,385,105.3,
460,292,370,105.91000000000001,
465,305,398,105.88000000000001,
470,302,370,105.79,
475,308,391,106.65,
480,270,369,103.64,
485,276,362,105.75,
490,290,385,105.22,
495,283,375,106.0,
500,276,388,107.07000000000001,
505,292,371,109.58,
510,305,376,106.69,
515,286,377,105.27000000000001,
520,299,361,107.33,
525,282,370,107.11,
530,289,390,107.47999999999999,
535,300,372,109.07,
540,285,373,103.86999999999999,
545,290,387,106.33,
550,299,390,109.56,
555,283,370,106.46,
560,290,368,104.72,
565,278,373,103.86,
570,282,381,109.65,
575,287,388,104.97,
580,277,367,106.21000000000001,
585,292,385,105.17,
590,308,373,105.28,
595,292,385,104.27,
600,275,371,104.59,
605,294,359,105.65,
610,301,376,103.33,
615,295,362,108.2,
620,283,371,104.78,
625,307,398,105.73,
630,298,384,108.88000000000001,
635,293,407,104.44,
640,286,383,105.9,
645,290,375,108.79,
650,293,371,103.88,
655,283,386,106.27999999999999,
660,295,375,105.94999999999999,
665,281,383,105.55,
670,290,386,106.06,
675,268,375,105.82,
680,304,374,105.36,
685,301,386,105.42,
690,290,393,106.6,
695,291,379,106.61,
700,295,377,105.23,
705,296,356,103.84,
710,289,382,103.92999999999999,
715,282,399,105.28,
720,287,375,103.52000000000001,
725,288,367,107.98,
730,294,371,107.57,
735,291,377,104.50999999999999,
740,285,386,108.63,
745,307,386,104.03,
750,291,382,106.78,
755,298,359,106.7,
760,288,385,105.2,
765,296,375,108.72999999999999,
770,290,378,105.6,
775,307,392,106.28999999999999,
780,290,369,108.29,
785,273,368,105.47999999999999,
790,285,363,106.60000000000001,
795,303,384,109.52,
800,305,385,105.75,
805,298,381,109.04,
810,296,389,106.24,
815,291,405,105.46000000000001,
820,304,374,103.71,
825,284,365,105.52,
830,299,383,107.24,
835,279,373,106.5,
840,290,374,109.03,
845,293,370,106.94,
850,277,396,105.38000000000001,
855,294,376,106.11,
860,289,383,107.7,
865,294,382,104.19,
870,288,381,109.21,
875,303,392,106.36,
880,298,385,106.18,
885,300,392,110.14999999999999,
890,308,383,108.18,
895,309,378,104.92999999999999,
900,297,374,107.14,
905,300,373,105.06,
910,287,390,103.95,
915,298,364,105.58,
920,311,377,105.02,
925,318,396,103.42,
930,320,378,106.39,
935,308,383,108.16,
940,296,402,106.25,
945,287,369,103.19,
950,290,378,106.3,
955,290,386,107.41000000000001,
960,297,391,106.53999999999999,
965,286,394,106.06,
970,311,389,104.65,
975,292,381,108.16,
980,281,373,102.74,
985,303,378,107.74,
990,292,389,107.14,
995,292,387,104.78,
1000,302,387,105.53,
1005,293,376,105.48,
1010,281,376,105.02999999999999,
1015,293,367,103.53,
1020,302,377,106.13000000000001,
1025,291,391,107.32000000000001,
1030,284,376,108.51,
1035,312,369,105.66,
1040,302,375,106.45,
1045,287,375,105.52,
1050,293,370,103.47,
1055,295,386,104.75999999999999,
1060,293,383,107.23,
1065,274,376,105.83,
1070,301,388,104.28999999999999,
1075,289,379,103.62,
1080,286,387,107.44000000000001,
1085,267,370,106.91,
1090,295,364,105.56,
1095,290,372,103.64,
1100,296,381,105.92,
1105,282,366,103.46,
1110,284,369,105.08,
1115,307,377,106.16,
1120,279,363,105.57000000000001,
1125,294,382,107.08,
1130,292,369,108.17,
1135,291,381,105.84,
1140,295,350,104.87,
1145,273,394,105.66,
1150,289,379,104.37,
1155,300,376,106.78999999999999,
1160,292,372,105.01,
1165,307,376,107.52,
1170,288,364,105.51,
1175,291,367,106.49,
1180,296,383,103.10000000000001,
1185,288,365,106.82000000000001,
1190,288,373,104.13000000000001,
1195,284,384,108.55,
1200,296,383,108.81,
1205,296,379,107.2,
1210,288,371,103.24000000000001,
1215,296,382,101.05,
1220,312,372,103.61,
1225,307,365,103.93,
1230,276,386,106.08000000000001,
1235,298,374,103.50999999999999,
1240,290,402,105.72,
1245,276,363,105.32,
1250,265,371,104.68,
1255,280,361,105.62,
1260,301,368,107.63,
1265,305,396,106.15,
1270,301,376,105.3,
1275,291,385,106.94,
1280,299,382,104.82,
1285,282,381,104.81,
1290,315,351,105.55,
1295,301,390,105.65,
1300,301,395,105.46,
1305,279,379,105.39,
1310,283,375,104.26,
1315,291,380,106.05,
1320,294,389,105.16,
1325,289,375,105.28,
1330,295,358,104.58,
1335,277,349,105.22999999999999,
1340,272,391,105.83,
1345,278,395,102.85000000000001,
1350,294,344,104.62,
1355,320,356,105.05000000000001,
1360,306,383,106.35,
1365,297,366,104.14,
