episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
305,621,414,105.32000000000001,289.4220000000001
310,346,314,103.35000000000001,267.082
315,344,306,103.82,250.27199999999996
320,375,314,105.97,285.8119999999997
325,368,283,104.03999999999999,259.73199999999974
330,350,294,103.95,277.1420000000003
335,354,309,105.89999999999999,271.76200000000006
340,354,304,106.39,289.96200000000005
345,379,324,104.7,287.01199999999983
350,354,305,106.8,302.40199999999993
355,356,303,105.55,285.6520000000001
360,348,298,104.55,252.86200000000022
365,349,289,103.96,239.2420000000001
370,349,287,104.15,244.35200000000003
375,332,313,103.26,209.56199999999998
380,330,309,106.37,296.68200000000013
385,366,306,105.59,291.91200000000003
390,345,301,104.18,290.12200000000024
395,353,293,106.02,326.5719999999999
400,376,311,101.1,165.91199999999995
405,345,300,103.91,217.382
410,385,300,104.69,218.07200000000014
415,347,287,102.79,236.2520000000002
420,368,304,103.53,225.14200000000008
425,332,288,102.62,193.95200000000003
430,321,300,99.28,105.13200000000003
435,349,288,105.81,249.82199999999997
440,358,290,103.79,220.3920000000001
445,357,307,103.10000000000001,201.20199999999997
450,352,288,103.69,178.3820000000001
455,332,299,103.16000000000001,200.9520000000002
460,347,293,102.66,190.042
465,332,300,103.36,200.93199999999982
470,339,304,102.09,150.33199999999982
475,356,300,106.74000000000001,251.17200000000014
480,351,298,104.91,206.272
485,349,305,100.96,167.5020000000001
490,351,301,101.61,178.62199999999996
495,342,274,101.88,153.98199999999994
500,359,296,104.81,216.22200000000015
505,358,295,102.06,171.72200000000007
510,371,301,102.68,193.81199999999973
515,353,286,104.89,219.51200000000017
520,342,300,103.78999999999999,190.57199999999995
525,357,300,105.16999999999999,213.14200000000002
530,329,281,100.97,118.99199999999998
535,359,302,106.23,243.25199999999984
540,339,278,155.37,1379.1920000000011
545,346,289,102.35000000000001,183.13200000000006
550,344,285,101.09,139.56199999999998
555,352,291,101.39,128.23200000000006
560,356,288,103.67,164.162
565,368,304,102.62,170.22200000000024
570,358,271,101.07,133.34200000000007
575,352,300,101.23,122.28200000000002
580,373,299,100.5,111.92200000000007
585,350,283,101.75999999999999,125.68200000000004
590,355,265,104.98,197.252
595,360,294,101.42,125.00200000000002
600,362,281,102.49,145.25200000000004
605,367,274,101.31,140.972
610,357,281,102.35,124.89200000000007
615,365,274,100.23,120.762
620,376,289,101.12,104.11200000000005
625,347,290,99.13000000000001,104.74200000000005
630,329,298,102.02000000000001,117.56200000000004
635,332,284,103.05000000000001,141.29200000000003
640,337,280,102.22000000000001,125.95199999999994
645,320,273,106.75999999999999,204.51200000000006
650,347,278,103.84,171.52200000000005
655,353,269,100.68,99.872
660,361,281,101.63,114.92200000000008
665,340,289,102.44000000000001,134.40200000000004
670,350,273,102.51,136.3819999999999
675,347,289,102.3,133.342
680,353,301,100.53999999999999,100.20199999999996
685,376,268,103.53,160.94200000000018
690,358,272,101.46000000000001,132.1620000000001
695,339,280,101.22,122.6020000000001
700,358,266,98.69,66.55199999999999
705,354,275,101.0,117.84200000000001
710,344,270,100.89,90.66199999999999
715,338,264,102.38000000000001,111.19199999999998
720,347,268,101.94,135.64199999999994
725,356,293,98.83,74.152
730,348,260,102.75,147.25200000000018
735,362,282,101.72,113.49200000000005
740,357,268,101.14999999999999,106.39199999999998
745,345,280,103.59,163.15199999999984
750,346,275,100.71,107.382
755,339,276,99.76,97.65199999999996
760,340,279,101.71,108.44200000000006
765,364,273,105.06,175.76200000000003
770,360,276,102.92,117.492
775,357,278,100.53,62.941999999999986
780,348,248,99.36,61.452
785,355,274,100.83,95.40200000000004
790,349,274,101.96,98.912
795,362,268,102.0,131.65200000000013
800,375,256,99.32000000000001,65.55200000000004
805,362,255,99.48,69.35200000000003
810,353,257,101.44,83.39200000000001
815,351,261,98.06,57.222000000000016
820,349,252,103.83999999999999,120.10199999999992
825,347,258,102.25,104.39199999999994
830,353,245,102.34,102.392
835,350,268,100.37,96.09200000000014
840,329,249,100.75999999999999,66.24200000000005
845,327,245,101.19,65.55200000000005
850,350,256,102.68,113.552
855,363,251,100.92,80.68199999999999
860,354,253,98.86999999999999,24.84200000000001
865,337,254,100.07000000000001,57.45200000000002
870,352,257,100.91,76.22200000000007
875,355,247,101.03,94.87200000000016
880,362,250,98.69,46.901999999999994
885,365,258,98.87,43.26200000000007
890,339,258,101.64,86.64200000000008
895,342,248,102.13,69.55200000000002
900,354,246,101.02,80.91199999999995
905,377,226,98.78999999999999,31.031999999999993
910,369,239,99.91,60.06199999999999
915,336,259,100.74000000000001,57.051999999999985
920,342,257,99.54,56.702000000000055
925,349,267,101.86,93.23200000000006
930,353,238,99.63000000000001,36.222
935,351,237,98.72,27.062000000000015
940,335,241,99.37,26.591999999999988
945,335,246,97.27,-20.448
950,351,267,100.75999999999999,73.04199999999997
955,369,259,100.32,61.26200000000003
960,368,237,99.26,52.66200000000002
965,341,229,100.82000000000001,59.10200000000008
970,376,237,100.91,64.43199999999997
975,344,228,98.88,9.292000000000016
980,357,241,100.78,54.61199999999998
985,363,252,102.59,117.22200000000004
990,361,232,100.19,58.232000000000006
995,344,245,102.22,86.32200000000006
1000,343,234,98.74,17.221999999999998
1005,351,232,100.03999999999999,27.752000000000034
1010,357,231,98.71,18.342
1015,361,246,100.24,57.202
1020,354,236,101.92,82.59199999999989
1025,354,232,100.84,52.942000000000036
1030,347,231,102.41000000000001,75.22200000000004
1035,341,236,100.05,24.752000000000017
1040,346,232,102.45,94.42200000000003
1045,354,246,99.67,37.082000000000015
1050,339,223,103.8,118.12200000000013
1055,344,240,100.2,34.772000000000034
1060,333,239,100.1,73.67200000000005
1065,347,232,100.45,54.87199999999998
1070,339,233,98.92,19.23200000000003
1075,341,207,98.35,-3.9379999999999624
1080,345,210,102.08,85.85199999999996
1085,351,242,99.59,49.492000000000026
1090,371,228,99.11,22.39200000000001
1095,358,228,99.84,30.042000000000037
1100,352,226,99.22999999999999,8.962000000000021
1105,363,219,100.13000000000001,35.542000000000016
1110,363,222,99.79,46.11199999999999
1115,350,225,101.69,54.61199999999998
1120,341,230,99.75,48.57200000000001
1125,327,243,101.00999999999999,31.992000000000044
1130,345,221,103.0,90.892
1135,346,224,98.56,18.26200000000002
1140,345,214,100.93,35.27200000000003
1145,343,205,99.53999999999999,25.582000000000022
1150,337,208,98.61,8.882000000000053
1155,341,203,99.80000000000001,22.131999999999998
1160,345,217,99.66,50.65199999999999
1165,347,218,99.19,5.982000000000017
1170,340,238,99.02,23.812000000000012
1175,352,233,99.24,12.041999999999998
1180,342,212,101.06,42.62200000000003
1185,348,203,98.89,6.672000000000001
1190,364,213,98.92999999999999,29.502000000000038
1195,352,212,99.07000000000001,-7.187999999999955
1200,351,204,101.08000000000001,17.392000000000007
1205,372,209,99.96000000000001,36.19200000000002
1210,350,223,99.57000000000001,18.842000000000066
1215,344,226,97.58,-30.638000000000027
1220,353,209,101.75999999999999,39.01200000000004
1225,355,203,98.51,-5.427999999999986
1230,336,209,101.13000000000001,32.862000000000016
1235,347,232,97.3,-6.397999999999948
1240,357,216,98.49,-22.04799999999998
1245,369,203,99.39,7.391999999999988
1250,348,209,98.9,3.0720000000000063
1255,328,209,99.81,16.872000000000064
1260,346,200,100.42,30.502000000000002
1265,371,207,99.13000000000001,-15.84799999999996
1270,350,195,101.12,18.742000000000026
1275,342,213,99.36,8.992000000000015
1280,336,214,98.21000000000001,-27.52799999999997
1285,365,211,98.42,1.6820000000000253
1290,343,199,101.22,60.44199999999996
1295,352,199,102.08,66.86199999999998
1300,354,201,97.25999999999999,-36.07799999999999
1305,360,204,99.46000000000001,12.741999999999937
1310,340,209,99.61,-2.4379999999999495
1315,337,195,97.58,-33.947999999999915
1320,338,197,98.59,-0.9179999999999979
1325,339,208,100.85,32.19200000000002
1330,335,198,97.01,-45.958
1335,334,200,100.22,1.791999999999999
1340,340,200,98.97,14.682000000000002
1345,363,214,101.06,34.732
1350,357,216,101.08000000000001,41.232
1355,328,192,96.91000000000001,-59.32800000000002
1360,360,197,98.50999999999999,-15.667999999999951
1365,346,208,101.02000000000001,42.13200000000002
1370,351,204,99.88000000000001,20.451999999999934
