origins,destinations,path,free_flow_time,cluster
0,0,-156460680#1 -156460680#0 -156460671 -37055902#2 -37055902#1 -37051625#2 -37051625#1 37052277#4 1237352048 1119245070 319058612#0 319058612#1 36288941#0 36288941#1 36288941#2 36936373#0 36936373#1 36936373#2 36936373#3 36936373#4 201772610 157574535 -36933126#2 -36933126#1 -36933126#0 -1239117024 -394443151#2 196288048 -394443151#0 394443143#0 394443143#1 394443143#2 1238948418#0 1238948418#1 509025806#1 509025806#2 1338884372 1338884371#4 1338884371#5 1338884371#6 1338884371#7 1338884371#8 1338884377 243836884#0 243836884#1 243836884#2 243836884#3 243836884#4 243836884#5,3.4205129245056667,0
0,0,-156460680#1 1024000539#1 1024000539#2 156460679 37052277#1 37052277#2 37052277#3 37052277#4 1237352048 1119245070 319058612#0 319058612#1 36288941#0 36288941#1 36288941#2 36936373#0 36936373#1 36936373#2 36936373#3 36936373#4 201772610 157574535 -36933126#2 -36933126#1 -36933126#0 -1239117024 -394443151#2 -394443151#1 -394443151#0 394443143#0 394443143#1 394443143#2 1238948418#0 1238948418#1 509025806#1 509025806#2 1338884372 1338884371#4 1338884371#5 1338884371#6 1338884371#7 1338884371#8 1338884377 243836884#0 243836884#1 243836884#2 243836884#3 243836884#4 243836884#5,3.3122137805140164,1
0,0,-156460680#1 1024000539#1 1024000539#2 156460679 37052277#1 37052277#2 37052277#3 37052277#4 1237352048 1119245070 319058612#0 319058612#1 36288941#0 36288941#1 36288941#2 36936373#0 36936373#1 153730938 -153730933#1 -153730933#0 36936373#3 36936373#4 201772610 157574535 -36933126#2 -36933126#1 -36933126#0 -1239117024 -394443151#2 196288048 -394443151#0 394443143#0 394443143#1 394443143#2 1238948418#0 1238948418#1 509025806#1 509025806#2 1338884372 1338884371#4 1338884371#5 1338884371#6 1338884371#7 1338884371#8 1338884377 243836884#0 243836884#1 243836884#2 243836884#3 243836884#4 243836884#5,3.5309644610200093,2
0,0,156460680#1 -156460680#1 1024000539#1 1024000539#2 156460679 37052277#1 37052277#2 37052277#3 37052277#4 1237352048 1119245070 319058612#0 319058612#1 36288941#0 36288941#1 36288941#2 36936373#0 36936373#1 153730938 -153730933#1 153730925#0 153730925#1 153730936#3 201772610 157574535 -36933126#2 -36933126#1 -36933126#0 -1239117024 -394443151#2 -394443151#1 -394443151#0 394443143#0 394443143#1 394443143#2 1238948418#0 1238948418#1 509025806#1 509025806#2 1338884372 1338884371#4 1338884371#5 1338884371#6 1338884371#7 1338884371#8 1338884377 243836884#0 243836884#1 243836884#2 243836884#3 243836884#4 243836884#5,3.656904734490624,3
1,1,165171783#1 165171783#2 1371061454 319058613#0 319058613#1 319058613#2 165170673#0 165170673#1 165170673#2 1338884371#8 1338884377 1338884376 1338884371#1 1338884371#2 1338884373 -509025806#2 -509025806#1 -509025806#0 -1238948418#0 509033674#0 509033674#1 394443151#0 394443151#1 394443151#2 153732964 -269702559 -36933151#0 36933113 39820664#9 36933223 36933282#0 36933282#1 -36288851#2 -36288851#1 -36288851#0 394446867#0 394446867#1 710476653#0 710476653#1 710476654 -36934835#1 -36934835#0 39820661#0 36936262#0 36936262#1 918716574#2 37051113#0 37051113#1 1119245072 37056055#1 319058606 37052930,3.806018535705016,0
1,1,165171783#1 165171783#2 1371061454 319058613#0 319058613#1 319058613#2 165170673#0 165170673#1 165170673#2 1338884371#8 1338884371#0 1338884371#1 1338884371#2 1338884373 -509025806#2 -509025806#1 -509025806#0 -1238948418#0 509033674#0 509033674#1 394443151#0 394443151#1 394443151#2 153732964 -269702559 -36933151#0 36933113 39820664#9 39820664#10 39820664#1 243836885 243836889 56080983 35801882#4 35802071#0 36285797#0 -36284844 394446867#0 394446867#1 710476653#0 710476653#1 710476654 -36934835#1 -36934835#0 36936220 37051113#0 37051113#1 1119245072 37056055#1 319058606 37052930,3.5600882188981435,1
1,1,165171783#1 165171783#2 1371061454 319058613#0 319058613#1 319058613#2 165170673#0 165170673#1 165170673#2 1338884371#8 1338884371#0 1338884371#1 1338884371#2 1338884373 -509025806#2 -509025806#1 -509025806#0 -1238948418#0 509033674#0 509033674#1 394443151#0 394443151#1 394443151#2 153732964 -269702559 -36933151#0 36933113 39820664#9 36933223 36933282#0 36933282#1 -36288851#2 -36288851#1 -36288851#0 394446867#0 394446867#1 710476653#0 710476653#1 710476654 -36934835#1 -36934835#0 39820661#0 36936262#0 36936262#1 918716574#2 37051113#0 37051113#1 1119245072 37056055#1 319058606 37052930,3.790739507802226,2
1,1,165171783#1 165171783#2 1371061454 319058613#0 319058613#1 319058613#2 165170673#0 165170673#1 165170673#2 1338884371#8 1338884371#0 1338884371#1 1338884371#2 1338884373 -509025806#2 -509025806#1 -509025806#0 -1238948418#0 509033674#0 509033674#1 394443151#0 394443151#1 394443151#2 153732964 -269702559 -36933151#0 36933113 39820664#9 36933223 36933282#0 36933282#1 36288851#3 36933307#0 36933306 36284386#1 36933240 394446867#1 710476653#0 710476653#1 710476654 -36934835#1 -36934835#0 36936220 37051113#0 37051113#1 1119245072 37056055#1 319058606 37052930,3.780450589908464,3
1,3,165171783#1 165171783#2 1371061454 319058613#0 319058613#1 319058613#2 165170673#0 165170673#1 165170673#2 1338884371#8 1338884377 243836884#0 243836884#1 243836884#2 243836884#3 243836884#4 243836884#5 39820657#0 39820657#1 719004331 1371061469#0 1371061469#1 698024152#0 698024152#1 165170684#0 165170684#1 1238426242 165172166 165172165#0 165172165#1 165172165#2 1238426243 698024160 -1239117045 -36936749#5 -36936749#4 -36936749#3 -36936749#2 -36936749#1 -36936749#0 319058644 698026761 37088673#0 -153730010#2,2.400594805700872,0
1,3,-165171783#1 -165171783#0 -698024152#1 -698024152#0 1371061470#0 1371061470#1 1371061468 36936590#0 36936590#1 36936590#2 36936590#3 36936590#4 36936590#5 36936590#6 36936590#7 36936590#8 1239117013#1 1239117013#2 36936494#0 36936494#1 36936655#0 36936655#1 36936655#2 36936655#3 36936655#4 36936655#5 36936655#6 319779156#0 319779156#1 319058636 319058644 698026761 37088673#0 -153730010#2,1.2017312800394513,1
