episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,92.48,
210,0,315,93.52000000000001,
215,0,324,92.57000000000001,
220,0,307,92.56,
225,0,301,93.5,
230,0,317,93.97,
235,0,313,93.6,
240,0,308,91.26,
245,0,301,91.96000000000001,
250,0,286,93.92999999999999,
255,0,308,92.3,
260,0,298,94.09,
265,0,302,93.44,
270,0,304,93.35,
275,0,299,92.18,
280,0,317,93.02000000000001,
285,0,309,92.87,
290,0,306,92.71000000000001,
295,0,310,91.0,
300,0,322,91.56,
305,0,329,92.67,
310,0,304,94.27999999999999,
315,0,315,93.81,
320,0,311,92.6,
325,0,308,93.36999999999999,
330,0,305,93.26,
335,0,303,92.58,
340,0,319,91.61,
345,0,320,93.28999999999999,
350,0,314,92.58,
355,0,310,92.74,
360,0,301,93.61999999999999,
365,0,313,93.12,
370,0,290,94.39999999999999,
375,0,302,93.5,
380,0,305,94.28,
385,0,307,93.25,
390,0,317,91.67,
395,0,303,92.07,
400,0,308,94.02,
405,0,306,92.94,
410,0,306,93.81,
415,0,332,94.16,
420,0,323,93.82,
425,0,311,93.81,
430,0,314,91.84,
435,0,308,91.33,
440,0,316,91.97,
445,0,294,92.38,
450,0,315,92.79,
455,0,317,93.73,
460,0,312,94.1,
465,0,305,93.27,
470,0,301,92.95,
475,0,314,91.77,
480,0,314,91.85000000000001,
485,0,304,92.59,
490,0,282,93.32,
495,0,313,93.38999999999999,
500,0,296,93.43,
505,0,302,93.32,
510,0,306,94.72,
515,0,302,93.0,
520,0,314,93.38,
525,0,297,92.38,
530,0,311,92.19999999999999,
535,0,305,93.93,
540,0,322,93.0,
545,0,314,93.48,
550,0,318,92.4,
555,0,325,93.12,
560,0,315,93.7,
565,0,312,92.1,
570,0,311,93.65,
575,0,304,93.39,
580,0,304,93.46,
585,0,302,94.99,
590,0,290,92.39999999999999,
595,0,298,91.73,
600,0,319,92.02,
605,0,324,94.0,
610,0,309,93.55,
615,0,330,93.32,
620,0,307,93.78,
625,0,307,94.64,
630,0,303,91.27,
635,0,303,92.96,
640,0,322,93.13,
645,0,319,93.94,
650,0,320,94.30999999999999,
655,0,322,92.65,
660,0,317,93.4,
665,0,309,92.72000000000001,
670,0,312,92.52,
675,0,305,92.60000000000001,
680,0,315,93.96,
685,0,311,93.89,
690,0,308,92.93,
695,0,319,94.31,
700,0,325,95.1,
705,0,312,91.7,
710,0,297,92.67,
715,0,307,94.08,
720,0,326,92.64,
725,0,296,95.6,
730,0,314,92.6,
735,0,294,92.96,
740,0,319,94.52000000000001,
745,0,301,94.64,
750,0,329,92.62,
755,0,316,94.21,
760,0,328,94.05000000000001,
765,0,313,93.15,
770,0,302,92.48,
775,0,328,94.41,
780,0,301,94.97,
785,0,305,94.73,
790,0,295,93.92,
795,0,297,94.53,
800,0,316,93.48,
805,0,302,92.34,
810,0,311,94.32,
815,0,306,93.49000000000001,
820,0,287,93.97,
825,0,314,92.63000000000001,
830,0,316,93.45,
835,0,315,94.32000000000001,
840,0,305,92.93,
845,0,303,92.35000000000001,
850,0,314,92.36,
855,0,309,92.53999999999999,
860,0,316,92.19999999999999,
865,0,306,93.34,
870,0,320,92.69999999999999,
875,0,315,92.74,
880,0,298,94.73,
885,0,291,92.66,
890,0,304,93.8,
895,0,305,93.11,
900,0,298,94.64999999999999,
905,0,299,93.13,
910,0,288,93.16,
915,0,308,94.67,
920,0,320,92.55,
925,0,335,95.13,
930,0,303,92.35,
935,0,288,92.24000000000001,
940,0,306,93.57000000000001,
945,0,297,94.14999999999999,
950,0,302,94.95,
955,0,294,92.56,
960,0,317,92.33000000000001,
965,0,296,93.19,
970,0,303,93.32,
975,0,314,94.07000000000001,
980,0,290,92.18,
985,0,308,94.22,
990,0,304,93.34,
995,0,316,92.93,
1000,0,300,92.43,
1005,0,289,93.26,
1010,0,294,92.75,
1015,0,312,92.51,
1020,0,293,93.88999999999999,
1025,0,299,92.65,
1030,0,306,94.24000000000001,
1035,0,291,92.99000000000001,
1040,0,323,93.85000000000001,
1045,0,302,93.1,
1050,0,314,93.72,
1055,0,302,92.71000000000001,
1060,0,285,92.92,
1065,0,294,92.44,
1070,0,295,92.81,
1075,0,297,93.56,
1080,0,310,94.12,
1085,0,303,93.0,
1090,0,309,94.0,
1095,0,303,92.9,
1100,0,302,94.1,
1105,0,300,92.35,
1110,0,285,93.87,
1115,0,312,94.78999999999999,
1120,0,318,93.03,
1125,0,308,92.21,
1130,0,305,94.02000000000001,
1135,0,307,92.53,
1140,0,304,94.02000000000001,
1145,0,292,93.08,
1150,0,290,90.32,
1155,0,303,91.75,
1160,0,324,93.66000000000001,
1165,0,296,92.85,
1170,0,287,92.72999999999999,
1175,0,306,91.08999999999999,
1180,0,292,96.21000000000001,
1185,0,297,92.72,
1190,0,299,93.31,
1195,0,297,92.01,
1200,0,290,93.22,
1205,0,284,92.17,
1210,0,277,91.96,
1215,0,292,92.23,
1220,0,269,94.22,
1225,0,270,92.42999999999999,
1230,0,259,92.64,
1235,0,272,92.2,
1240,0,287,94.13999999999999,
1245,0,297,94.63,
1250,0,295,91.62,
1255,0,304,92.22,
1260,0,315,92.23,
1265,0,280,94.25,
1270,0,279,93.75,
1275,0,291,94.39,
1280,0,296,93.78,
1285,0,298,92.69,
1290,0,310,93.17999999999999,
1295,0,297,93.86,
1300,0,300,92.94,
1305,0,299,95.3,
1310,0,287,93.64999999999999,
1315,0,285,92.26,
1320,0,303,93.83,
1325,0,291,93.18,
1330,0,284,93.57000000000001,
1335,0,301,94.37,
1340,0,297,92.75,
1345,0,287,92.69,
1350,0,279,94.92999999999999,
1355,0,291,91.92,
1360,0,290,93.09,
1365,0,275,91.84,
1370,0,300,93.45,
1375,0,288,92.39999999999999,
1380,0,295,92.05999999999999,
1385,0,295,93.49,
1390,0,292,94.28,
1395,0,281,93.66,
1400,0,297,92.74,
1405,0,294,91.89,
1410,0,286,92.5,
1415,0,280,92.12,
1420,0,274,92.88,
1425,0,263,93.64,
1430,0,261,93.82,
1435,0,283,95.27,
1440,0,285,93.8,
1445,0,284,92.89999999999999,
1450,0,295,94.4,
1455,0,290,92.19,
1460,0,274,93.63,
1465,0,276,94.74,
1470,0,284,94.38000000000001,
1475,0,299,93.77,
1480,0,280,94.3,
1485,0,304,93.74000000000001,
1490,0,289,93.31,
1495,0,286,93.06,
1500,0,292,93.07,
1505,0,304,91.73,
1510,0,289,92.66000000000001,
1515,0,279,92.8,
1520,0,283,93.14,
1525,0,292,95.25,
1530,0,296,90.67999999999999,
1535,0,296,94.32,
1540,0,280,94.81,
1545,0,295,92.44,
1550,0,283,91.81,
1555,0,292,95.14999999999999,
1560,0,301,92.45,
1565,0,295,92.83,
1570,0,295,92.44999999999999,
1575,0,295,91.44,
1580,0,295,94.05,
1585,0,299,92.39,
1590,0,289,93.63,
1595,0,283,93.66,
1600,0,299,94.52,
1605,0,302,92.64,
1610,0,297,92.19,
1615,0,310,90.85000000000001,
1620,0,315,93.12,
1625,0,293,92.73,
1630,0,298,92.8,
1635,0,311,92.54,
1640,0,308,93.81,
1645,0,304,94.39,
1650,0,317,93.11,
1655,0,296,93.77,
1660,0,286,91.99,
1665,0,320,93.1,
1670,0,286,93.46000000000001,
1675,0,302,93.58,
1680,0,298,91.34,
1685,0,307,93.78,
1690,0,305,93.48,
1695,0,295,92.07,
1700,0,302,92.86,
1705,0,315,92.22,
1710,0,302,94.35,
1715,0,300,93.09,
1720,0,292,91.89999999999999,
1725,0,303,93.91,
1730,0,304,94.99,
1735,0,295,92.62,
1740,0,298,92.18,
1745,0,303,92.22,
1750,0,317,93.29,
1755,0,293,92.83999999999999,
1760,0,291,91.85000000000001,
1765,0,304,92.96000000000001,
1770,0,302,92.03,
1775,0,295,93.36999999999999,
1780,0,298,94.74000000000001,
1785,0,314,93.2,
1790,0,306,92.34,
1795,0,303,92.17999999999999,
1800,0,299,93.67,
1805,0,304,93.36,
1810,0,292,92.0,
1815,0,314,93.32000000000001,
1820,0,290,92.87,
1825,0,305,92.14,
1830,0,313,92.52,
1835,0,290,91.42999999999999,
1840,0,303,93.55,
1845,0,298,92.91999999999999,
1850,0,298,93.24,
1855,0,308,93.28,
1860,0,301,93.49000000000001,
1865,0,288,93.85,
1870,0,302,90.87,
1875,0,304,94.16,
1880,0,310,93.22,
1885,0,288,91.98,
1890,0,316,93.53,
1895,0,301,94.05,
1900,0,307,93.31,
1905,0,312,93.38,
1910,0,307,93.66,
1915,0,291,92.47,
1920,0,307,93.46000000000001,
1925,0,304,93.48,
1930,0,291,93.5,
1935,0,294,93.6,
1940,0,303,93.46,
1945,0,310,92.44,
1950,0,303,94.17,
1955,0,299,92.19,
1960,0,284,92.17,
1965,0,287,92.49,
1970,0,305,95.19,
1975,0,291,92.53999999999999,
1980,0,295,92.56,
1985,0,298,95.22,
1990,0,315,93.17,
1995,0,292,94.06,
2000,0,315,94.69,
2005,0,303,93.33,
2010,0,285,92.45,
2015,0,320,93.16,
2020,0,292,92.17999999999999,
2025,0,306,93.67,
2030,0,289,93.83,
2035,0,293,93.07000000000001,
2040,0,289,92.36,
2045,0,297,94.23,
2050,0,295,93.16999999999999,
2055,0,308,93.95,
2060,0,313,95.02,
2065,0,292,93.45,
2070,0,298,93.89,
2075,0,302,93.04,
2080,0,298,92.16999999999999,
2085,0,292,94.34,
2090,0,300,92.29,
2095,0,289,93.13000000000001,
2100,0,285,93.24,
2105,0,289,92.96,
2110,0,292,94.3,
2115,0,297,92.80000000000001,
2120,0,294,94.21,
2125,0,299,92.47999999999999,
2130,0,293,93.75,
2135,0,276,94.5,
2140,0,298,93.55000000000001,
2145,0,282,94.11,
2150,0,276,92.73,
2155,0,291,93.62,
2160,0,289,92.0,
