episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,92.33,
210,0,301,94.42999999999999,
215,0,304,92.99000000000001,
220,0,315,94.27,
225,0,323,92.35000000000001,
230,0,318,93.86,
235,0,315,92.84,
240,0,307,93.38,
245,0,318,92.88,
250,0,308,95.07000000000001,
255,0,314,91.93,
260,0,326,93.41000000000001,
265,0,305,94.05,
270,0,314,95.44,
275,0,319,93.07000000000001,
280,0,316,92.92,
285,0,319,93.16,
290,0,318,93.77,
295,0,322,93.38,
300,0,308,92.99,
305,0,319,94.33999999999999,
310,0,308,95.38000000000001,
315,0,312,94.21,
320,0,307,92.27000000000001,
325,0,314,93.36,
330,0,291,92.09,
335,0,302,93.33999999999999,
340,0,316,92.25,
345,0,318,91.04,
350,0,300,94.92999999999999,
355,0,310,163.53,
360,0,299,93.56,
365,0,299,90.93,
370,0,302,92.94,
375,0,297,94.86,
380,0,299,93.85,
385,0,317,92.42999999999999,
390,0,320,91.41,
395,0,313,93.64,
400,0,303,93.03,
405,0,311,93.13,
410,0,311,93.80000000000001,
415,0,313,92.69,
420,0,300,94.63,
425,0,316,93.08,
430,0,307,93.58,
435,0,324,93.41000000000001,
440,0,325,91.79,
445,0,320,93.92,
450,0,302,94.29,
455,0,304,92.89999999999999,
460,0,306,94.24,
465,0,317,93.19999999999999,
470,0,316,93.92,
475,0,306,92.91,
480,0,332,92.94000000000001,
485,0,310,97.11999999999999,
490,0,311,91.45,
495,0,297,93.36,
500,0,313,92.63,
505,0,301,93.14999999999999,
510,0,314,94.16,
515,0,300,92.98,
520,0,303,94.49,
525,0,304,92.45,
530,0,320,94.32,
535,0,320,93.83,
540,0,311,91.93,
545,0,308,94.33000000000001,
550,0,308,93.28999999999999,
555,0,316,94.08999999999999,
560,0,303,92.5,
565,0,316,95.08999999999999,
570,0,306,91.97,
575,0,310,93.17999999999999,
580,0,317,92.82000000000001,
585,0,299,93.27,
590,0,318,91.78,
595,0,320,92.43,
600,0,299,93.85,
605,0,320,93.01,
610,0,306,94.22,
615,0,301,93.37,
620,0,311,92.87,
625,0,313,92.83,
630,0,301,92.68,
635,0,323,94.43,
640,0,294,91.97,
645,0,294,92.75,
650,0,309,93.56,
655,0,298,92.45,
660,0,317,92.77000000000001,
665,0,313,92.08000000000001,
670,0,305,93.96000000000001,
675,0,311,93.86999999999999,
680,0,300,92.1,
685,0,309,92.63,
690,0,326,92.63,
695,0,286,93.19,
700,0,288,92.55000000000001,
705,0,316,93.06,
710,0,287,92.44,
715,0,332,93.39999999999999,
720,0,320,96.07000000000001,
725,0,309,93.4,
730,0,317,93.28,
735,0,293,93.71,
740,0,303,93.41,
745,0,327,92.27,
750,0,316,97.19999999999999,
755,0,306,94.44999999999999,
760,0,301,93.31,
765,0,323,92.36,
770,0,310,92.66000000000001,
775,0,299,92.30999999999999,
780,0,314,94.11999999999999,
785,0,315,94.4,
790,0,296,92.81,
795,0,311,94.52,
800,0,288,93.75,
805,0,314,95.37,
810,0,307,94.25,
815,0,301,92.59,
820,0,297,94.10000000000001,
825,0,295,92.72,
830,0,285,92.02000000000001,
835,0,310,91.09,
840,0,296,93.12,
845,0,305,93.98,
850,0,311,94.44999999999999,
855,0,301,92.51,
860,0,314,93.94999999999999,
865,0,293,91.54,
870,0,301,92.28,
875,0,323,95.05,
880,0,294,94.78,
885,0,312,93.13,
890,0,317,95.56,
895,0,304,93.82000000000001,
900,0,317,92.93,
905,0,320,94.36,
910,0,300,93.14,
915,0,303,94.39999999999999,
920,0,288,94.96,
925,0,314,92.01,
930,0,300,93.15,
935,0,287,91.89,
940,0,305,93.94,
945,0,299,92.62,
950,0,308,93.83,
955,0,292,92.27,
960,0,289,93.49,
965,0,289,94.99000000000001,
970,0,308,94.93,
975,0,293,93.86999999999999,
980,0,280,95.22,
985,0,286,92.0,
990,0,278,93.45,
995,0,323,95.42,
1000,0,293,92.41,
1005,0,311,94.67999999999999,
1010,0,303,93.18,
1015,0,301,92.91,
1020,0,307,92.98,
1025,0,277,92.86,
1030,0,284,94.36999999999999,
1035,0,320,92.59,
1040,0,283,94.87,
1045,0,330,92.36,
1050,0,276,94.52000000000001,
1055,0,277,93.67,
1060,0,309,91.14,
1065,0,320,92.67999999999999,
1070,0,271,95.58,
1075,0,318,93.01,
1080,0,269,92.21,
1085,0,316,93.91,
1090,0,296,93.44,
1095,0,296,94.06,
1100,0,281,95.32000000000001,
1105,0,319,93.6,
1110,0,284,93.08,
1115,0,311,92.63,
1120,0,259,93.19,
1125,0,275,94.22,
1130,0,315,92.88,
1135,0,263,92.31,
1140,0,321,93.3,
1145,0,305,93.52,
1150,0,288,94.81,
1155,0,286,94.45,
1160,0,288,94.00999999999999,
1165,0,322,92.81,
1170,0,314,92.42,
1175,0,293,93.13,
1180,0,313,93.03,
1185,0,285,90.83,
1190,0,291,93.17999999999999,
1195,0,302,94.18,
1200,0,283,92.60000000000001,
1205,0,311,94.75,
1210,0,307,93.87,
1215,0,272,95.94,
1220,0,263,94.72,
1225,0,297,95.85,
1230,0,262,94.19999999999999,
1235,0,266,93.31,
1240,0,261,91.81,
1245,0,323,93.86999999999999,
1250,0,333,92.49000000000001,
1255,0,269,92.82000000000001,
