episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,93.21,
210,0,313,93.57000000000001,
215,0,311,93.39,
220,0,319,94.71,
225,0,293,93.89,
230,0,308,94.53999999999999,
235,0,323,92.71,
240,0,307,93.95,
245,0,317,92.14,
250,0,331,92.33,
255,0,309,92.47999999999999,
260,0,324,94.28,
265,0,305,93.35000000000001,
270,0,314,94.36,
275,0,321,92.97,
280,0,318,92.43,
285,0,306,93.74,
290,0,311,94.5,
295,0,310,92.41,
300,0,314,92.13,
305,0,304,92.62,
310,0,313,93.67,
315,0,312,94.21,
320,0,310,91.87,
325,0,311,92.64,
330,0,307,91.83,
335,0,308,95.1,
340,0,315,92.1,
345,0,311,92.80000000000001,
350,0,315,92.32,
355,0,307,92.97,
360,0,317,92.96000000000001,
365,0,319,93.33,
370,0,314,93.13000000000001,
375,0,313,93.1,
380,0,305,92.69,
385,0,304,93.82,
390,0,309,93.64,
395,0,300,92.26,
400,0,308,92.31,
405,0,313,92.49,
410,0,311,94.55,
415,0,307,94.01,
420,0,314,154.13,
425,0,316,92.5,
430,0,304,92.17,
435,0,297,92.14,
440,0,307,92.07,
445,0,298,92.44,
450,0,302,94.02,
455,0,310,92.46,
460,0,323,92.62,
465,0,291,92.52,
470,0,297,93.39,
475,0,314,93.69,
480,0,304,93.22,
485,0,305,93.66000000000001,
490,0,298,93.81,
495,0,306,93.62,
500,0,280,93.75999999999999,
505,0,291,92.53,
510,0,314,93.22,
515,0,314,93.2,
520,0,296,95.32000000000001,
525,0,307,95.23,
530,0,324,93.39999999999999,
535,0,321,92.61,
540,0,311,92.64,
545,0,298,93.69,
550,0,304,93.6,
555,0,292,92.83,
560,0,312,93.79,
565,0,306,93.81,
570,0,299,94.0,
575,0,307,93.27000000000001,
580,0,317,93.47,
585,0,300,93.99,
590,0,296,95.68,
595,0,301,94.33,
600,0,314,93.34,
605,0,301,92.11,
610,0,308,92.59,
615,0,313,95.42999999999999,
620,0,294,92.32000000000001,
625,0,317,93.41,
630,0,319,93.80999999999999,
635,0,306,94.01,
640,0,297,94.38000000000001,
645,0,291,93.67,
650,0,306,93.66999999999999,
655,0,305,93.85,
660,0,307,94.43,
665,0,307,92.50999999999999,
670,0,294,94.09,
675,0,300,94.24,
680,0,289,92.55,
685,0,293,92.57,
690,0,298,94.26,
695,0,290,94.14,
700,0,309,91.61,
705,0,300,93.61,
710,0,302,93.36,
715,0,307,94.67,
720,0,299,91.62,
725,0,306,93.07,
730,0,300,93.7,
735,0,292,93.21,
740,0,307,94.74,
745,0,301,95.00999999999999,
750,0,311,93.41,
755,0,312,92.22999999999999,
760,0,303,92.74,
765,0,299,93.09,
770,0,298,94.36,
775,0,309,93.93,
780,0,286,93.82,
785,0,297,94.17,
790,0,300,95.32,
795,0,286,93.54,
800,0,284,93.72,
805,0,299,93.45,
810,0,303,94.57,
815,0,305,93.64,
820,0,277,94.71,
825,0,287,94.3,
830,0,295,93.61,
835,0,288,94.4,
840,0,248,95.82,
845,0,292,96.55,
850,0,295,92.81,
855,0,298,93.27,
860,0,305,91.75,
865,0,284,93.22,
870,0,281,93.25,
875,0,287,93.61,
880,0,275,93.55,
885,0,284,93.33,
890,0,279,93.67,
895,0,284,93.29,
900,0,271,92.89999999999999,
905,0,293,95.72,
910,0,304,92.75,
915,0,276,92.99000000000001,
920,0,295,94.92999999999999,
925,0,292,94.52,
930,0,290,93.31,
935,0,294,95.33,
940,0,269,94.94,
945,0,285,93.14,
950,0,282,95.6,
955,0,269,94.47,
960,0,275,93.76,
965,0,288,93.89,
970,0,286,93.39,
975,0,283,94.95,
980,0,265,93.61,
985,0,290,92.00999999999999,
990,0,283,94.72,
995,0,260,93.39,
1000,0,264,91.94,
1005,0,269,94.16,
1010,0,288,93.64999999999999,
1015,0,275,92.44,
1020,0,255,92.99,
1025,0,279,93.91000000000001,
1030,0,256,96.27,
1035,0,274,93.88000000000001,
1040,0,285,94.07000000000001,
1045,0,281,94.62,
1050,0,277,93.46000000000001,
1055,0,286,94.11,
1060,0,269,94.03,
1065,0,266,94.42999999999999,
1070,0,264,94.28,
1075,0,280,94.04,
1080,0,276,93.33,
1085,0,272,93.06,
1090,0,286,94.28,
1095,0,265,93.66000000000001,
1100,0,283,94.08,
1105,0,282,94.07000000000001,
1110,0,277,92.86,
1115,0,265,94.39,
1120,0,274,92.69,
1125,0,274,93.84,
1130,0,274,94.21,
1135,0,266,94.96000000000001,
1140,0,285,95.35,
1145,0,265,93.71,
1150,0,259,93.3,
1155,0,253,94.98,
1160,0,261,94.24,
1165,0,265,92.3,
1170,0,266,93.94,
1175,0,274,93.49000000000001,
1180,0,269,92.51,
1185,0,267,93.55000000000001,
1190,0,262,92.92,
1195,0,253,93.28,
1200,0,250,94.16,
1205,0,275,94.92,
1210,0,259,94.13999999999999,
1215,0,261,93.24,
1220,0,267,93.32,
