episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,92.39,
210,0,305,92.36,
215,0,302,91.67999999999999,
220,0,310,93.24000000000001,
225,0,308,91.91000000000001,
230,0,313,94.06,
235,0,313,93.75,
240,0,313,93.01,
245,0,325,92.94000000000001,
250,0,305,93.27,
255,0,272,93.97,
260,0,314,93.83,
265,0,293,94.43,
270,0,312,90.86,
275,0,321,94.36,
280,0,299,93.28,
285,0,310,93.96,
290,0,312,92.48,
295,0,315,92.34,
300,0,302,91.89,
305,0,311,91.94999999999999,
310,0,312,96.29,
315,0,320,92.53999999999999,
320,0,279,92.43,
325,0,327,94.17999999999999,
330,0,307,95.65,
335,0,323,92.55,
340,0,295,92.47999999999999,
345,0,324,92.09,
350,0,305,92.68,
355,0,328,92.24,
360,0,312,93.36,
365,0,307,92.08999999999999,
370,0,316,93.65,
375,0,308,93.02,
380,0,302,92.52,
385,0,307,93.08999999999999,
390,0,316,91.38000000000001,
395,0,312,92.25,
400,0,312,92.71,
405,0,286,92.61,
410,0,307,94.37,
415,0,314,91.68,
420,0,309,94.84,
425,0,318,95.36,
430,0,323,93.82,
435,0,308,94.39999999999999,
440,0,305,93.26,
445,0,291,93.5,
450,0,306,93.69,
455,0,297,91.38,
460,0,308,91.6,
465,0,321,92.5,
470,0,308,93.75,
475,0,311,94.08,
480,0,300,91.62,
485,0,308,93.14999999999999,
490,0,320,91.41,
495,0,295,94.23,
500,0,308,92.53,
505,0,305,92.66,
510,0,311,96.07,
515,0,311,94.08000000000001,
520,0,301,95.55,
525,0,309,92.65,
530,0,297,93.69999999999999,
535,0,308,92.25999999999999,
540,0,304,92.63,
545,0,327,91.41,
550,0,314,91.87,
555,0,314,93.08,
560,0,300,94.22,
565,0,306,93.13,
570,0,318,92.33,
575,0,317,91.79,
580,0,292,95.25,
585,0,323,93.23,
590,0,302,93.44999999999999,
595,0,316,94.85,
600,0,310,92.2,
605,0,301,92.97,
610,0,291,91.87,
615,0,323,94.05,
620,0,295,93.45,
625,0,314,93.23,
630,0,288,93.54,
635,0,296,93.08,
640,0,310,93.41,
645,0,311,92.99,
650,0,315,94.61,
655,0,292,93.63,
660,0,316,93.02000000000001,
665,0,322,95.39999999999999,
670,0,308,92.75,
675,0,312,93.82,
680,0,306,92.03,
685,0,317,91.11,
690,0,314,92.94,
695,0,311,94.13000000000001,
700,0,290,92.50999999999999,
705,0,320,94.41,
710,0,288,93.06,
715,0,315,93.44,
720,0,298,94.11,
725,0,327,94.21,
730,0,298,94.15,
735,0,308,93.06,
740,0,316,93.54,
745,0,303,94.01,
750,0,303,95.59,
755,0,329,94.14,
760,0,306,92.49000000000001,
765,0,296,92.48,
770,0,298,93.33,
775,0,300,92.04,
780,0,312,92.52,
785,0,312,92.39,
790,0,301,93.4,
795,0,326,93.54,
800,0,303,96.05,
805,0,321,92.81,
810,0,284,94.86999999999999,
815,0,312,92.66,
820,0,308,93.80999999999999,
825,0,303,92.35,
830,0,285,93.97,
835,0,285,93.89,
840,0,296,93.94,
845,0,336,93.51,
850,0,283,92.79,
855,0,298,92.63,
860,0,291,93.13,
865,0,281,93.5,
870,0,294,94.7,
875,0,334,92.59,
880,0,282,92.31,
885,0,310,95.06,
890,0,280,95.13,
895,0,312,93.92999999999999,
900,0,308,94.89999999999999,
905,0,289,93.25999999999999,
910,0,278,93.33,
915,0,312,93.05,
920,0,291,92.37,
925,0,305,93.24,
930,0,275,92.32,
935,0,315,94.25,
940,0,288,93.19,
945,0,316,93.41000000000001,
950,0,290,93.78,
955,0,319,91.86,
960,0,297,95.67,
965,0,305,92.26,
970,0,286,93.74000000000001,
975,0,321,93.21000000000001,
980,0,286,94.32,
985,0,317,90.97,
990,0,265,92.36,
995,0,316,93.52,
1000,0,277,93.02000000000001,
1005,0,311,91.64,
1010,0,291,92.62,
1015,0,327,93.17,
1020,0,289,92.21000000000001,
1025,0,318,92.92999999999999,
1030,0,283,91.8,
1035,0,276,94.50999999999999,
1040,0,272,92.39,
1045,0,309,95.45,
1050,0,285,95.04,
1055,0,293,94.69,
1060,0,261,93.61,
1065,0,327,93.14,
1070,0,277,92.63000000000001,
1075,0,332,93.88,
1080,0,270,92.89,
1085,0,324,93.67999999999999,
1090,0,270,93.64999999999999,
1095,0,330,92.81,
1100,0,267,91.98,
1105,0,324,93.6,
1110,0,271,92.28,
1115,0,305,93.28999999999999,
1120,0,252,94.17,
1125,0,272,94.16,
1130,0,277,94.52,
1135,0,277,93.31,
1140,0,272,91.73,
1145,0,314,92.85000000000001,
1150,0,266,93.62,
1155,0,324,93.11,
1160,0,261,96.0,
1165,0,325,94.39999999999999,
1170,0,258,95.42999999999999,
1175,0,313,95.56,
1180,0,280,95.06,
1185,0,279,94.65,
1190,0,281,93.34,
1195,0,270,93.72,
1200,0,262,93.11999999999999,
1205,0,268,95.39,
1210,0,247,93.15,
1215,0,333,91.09,
1220,0,259,93.01,
1225,0,311,93.73,
1230,0,253,93.77000000000001,
1235,0,306,91.53,
1240,0,260,92.44,
1245,0,337,95.80000000000001,
1250,0,259,95.46,
1255,0,312,91.66000000000001,
1260,0,249,92.29,
1265,0,321,94.58999999999999,
1270,0,263,93.03999999999999,
1275,0,310,94.51,
1280,0,252,94.19,
1285,0,290,93.36,
1290,0,251,93.08,
1295,0,329,91.23,
1300,0,261,91.68,
1305,0,283,93.03999999999999,
1310,0,261,91.82000000000001,
1315,0,329,94.77999999999999,
1320,0,263,93.9,
1325,0,319,94.38,
1330,0,246,94.3,
1335,0,250,96.78,
1340,0,234,94.64,
1345,0,338,94.21000000000001,
1350,0,229,90.74,
1355,0,326,93.03,
1360,0,249,94.50999999999999,
1365,0,298,96.29,
1370,0,252,94.96000000000001,
1375,0,276,94.04,
1380,0,264,93.41000000000001,
1385,0,321,92.06,
1390,0,228,91.87,
1395,0,343,93.89999999999999,
1400,0,239,93.61,
1405,0,249,94.73,
1410,0,231,91.89,
1415,0,291,93.74,
1420,0,234,93.24,
1425,0,317,91.68,
1430,0,256,90.29,
1435,0,342,96.82,
1440,0,238,94.49000000000001,
1445,0,322,93.44000000000001,
1450,0,246,91.57000000000001,
1455,0,333,92.54,
1460,0,243,94.8,
1465,0,327,94.86,
1470,0,236,95.3,
1475,0,337,90.78,
1480,0,229,91.97,
1485,0,331,95.07000000000001,
1490,0,225,95.41,
1495,0,353,93.7,
1500,0,232,92.21000000000001,
1505,0,307,96.57000000000001,
1510,0,228,94.78,
1515,0,313,94.62,
1520,0,234,94.42,
1525,0,240,93.60000000000001,
1530,0,241,94.63,
1535,0,246,93.50999999999999,
1540,0,225,93.19000000000001,
1545,0,347,93.14999999999999,
1550,0,244,93.85,
1555,0,336,93.02,
1560,0,220,94.66,
1565,0,339,92.24,
1570,0,209,91.9,
1575,0,338,93.82000000000001,
1580,0,213,96.83,
1585,0,337,92.9,
1590,0,219,92.43,
1595,0,336,92.36,
1600,0,219,94.15,
1605,0,335,95.0,
1610,0,219,94.64999999999999,
1615,0,338,91.82000000000001,
1620,0,215,92.81,
1625,0,340,95.01,
1630,0,211,95.05999999999999,
1635,0,218,96.59,
1640,0,227,94.01,
1645,0,334,94.84,
1650,0,227,95.99,
1655,0,338,93.57000000000001,
1660,0,198,93.17,
1665,0,341,92.66000000000001,
1670,0,222,91.83,
1675,0,337,91.91,
1680,0,203,91.32000000000001,
1685,0,340,94.37,
1690,0,211,92.36,
1695,0,278,94.56,
1700,0,208,93.93,
1705,0,341,91.71000000000001,
1710,0,215,92.08,
1715,0,341,94.92999999999999,
1720,0,205,93.67,
1725,0,348,92.53,
1730,0,192,93.42999999999999,
1735,0,339,91.03999999999999,
1740,0,197,92.04,
1745,0,342,93.36999999999999,
1750,0,214,96.15,
1755,0,213,92.85000000000001,
1760,0,188,96.25,
1765,0,349,93.88000000000001,
1770,0,188,93.28999999999999,
1775,0,237,92.78999999999999,
1780,0,203,93.11,
1785,0,329,92.58,
1790,0,191,94.71000000000001,
1795,0,345,94.08999999999999,
1800,0,200,94.04,
1805,0,343,94.37,
1810,0,185,93.61,
1815,0,343,92.02,
1820,0,197,92.83,
1825,0,242,92.46,
1830,0,196,92.89,
1835,0,237,91.08999999999999,
1840,0,170,92.67999999999999,
1845,0,299,93.3,
1850,0,182,94.88,
1855,0,356,95.19,
1860,0,176,94.02,
1865,0,343,93.27,
1870,0,186,92.08,
1875,0,355,94.28,
1880,0,161,95.02,
1885,0,331,94.34,
1890,0,168,93.63000000000001,
1895,0,331,91.04,
1900,0,154,91.06,
1905,0,225,91.21000000000001,
1910,0,185,92.33,
1915,0,322,93.85000000000001,
1920,0,165,94.63,
1925,0,353,91.68,
1930,0,170,90.66,
1935,0,202,90.57000000000001,
1940,0,183,92.67,
1945,0,172,92.02,
1950,0,148,92.08,
1955,0,344,94.77,
1960,0,171,97.31,
1965,0,360,92.89,
1970,0,144,91.49,
1975,0,351,95.10000000000001,
1980,0,150,95.34,
1985,0,196,94.05,
1990,0,163,95.64,
1995,0,327,94.11,
2000,0,156,94.46000000000001,
2005,0,374,91.50999999999999,
2010,0,147,90.94,
2015,0,366,93.18,
2020,0,160,93.28,
2025,0,361,94.51,
2030,0,168,95.27,
2035,0,341,94.43,
2040,0,140,93.71000000000001,
2045,0,337,94.06,
2050,0,158,95.73,
2055,0,358,93.64999999999999,
2060,0,137,94.44,
2065,0,363,93.89999999999999,
2070,0,153,93.61999999999999,
2075,0,360,91.59,
2080,0,116,92.09,
2085,0,370,95.38,
2090,0,138,94.84,
2095,0,355,94.98,
2100,0,140,93.56,
2105,0,168,95.67,
2110,0,141,94.64,
2115,0,341,95.41,
2120,0,126,95.02,
2125,0,376,94.37,
2130,0,136,92.75999999999999,
2135,0,150,95.21,
2140,0,132,92.73,
2145,0,170,95.25,
2150,0,134,94.61,
2155,0,364,94.94,
2160,0,133,96.13,
2165,0,351,93.52999999999999,
2170,0,119,94.66,
2175,0,369,93.38,
2180,0,123,93.97,
2185,0,378,95.32000000000001,
2190,0,116,93.82,
2195,0,141,94.36,
2200,0,119,93.32,
2205,0,380,91.77,
2210,0,118,91.80000000000001,
2215,0,149,91.23,
2220,0,100,91.44,
2225,0,109,92.04,
2230,0,121,91.13,
2235,0,146,92.32000000000001,
2240,0,117,92.75,
2245,0,237,93.27999999999999,
2250,0,135,93.08,
2255,0,262,91.83,
2260,0,110,92.1,
2265,0,135,91.05,
2270,0,107,92.57,
2275,0,165,91.84,
2280,0,123,92.44,
2285,0,355,95.41,
2290,0,105,96.74,
2295,0,278,95.44,
2300,0,92,96.65,
2305,0,371,94.50999999999999,
2310,0,100,94.86999999999999,
2315,0,161,94.18,
2320,0,98,94.51,
2325,0,389,134.14000000000001,
2330,0,100,97.01,
2335,0,383,91.5,
2340,0,87,92.14,
2345,0,361,96.64,
2350,0,94,95.35,
2355,0,360,91.66,
2360,0,103,92.63,
2365,0,340,94.89,
2370,0,77,95.74,
2375,0,357,94.34,
2380,0,87,98.11,
2385,0,393,95.61,
2390,0,71,97.54,
2395,0,386,93.06,
2400,0,86,92.5,
2405,0,111,92.84,
2410,0,70,92.53,
2415,0,345,95.1,
2420,0,76,95.42,
2425,0,360,92.2,
2430,0,68,91.71000000000001,
2435,0,367,95.55,
2440,0,71,99.09,
2445,0,397,94.78,
2450,0,63,96.38,
2455,0,360,91.75,
2460,0,52,92.01,
2465,0,360,95.55,
2470,0,64,96.46,
2475,0,145,188.38,
2480,0,70,95.58,
2485,0,344,91.62,
2490,0,56,91.3,
2495,0,378,95.45,
2500,0,61,97.03,
2505,0,130,97.46,
2510,0,60,96.63,
2515,0,371,91.25,
2520,0,61,91.58999999999999,
2525,0,368,94.78,
2530,0,37,97.88,
2535,0,307,92.21000000000001,
2540,0,40,92.05000000000001,
2545,0,352,95.67,
2550,0,54,94.32,
2555,0,117,95.49000000000001,
2560,0,52,94.89999999999999,
2565,0,399,96.1,
2570,0,46,95.16999999999999,
2575,0,353,96.0,
2580,0,37,94.69000000000001,
2585,0,399,93.9,
2590,0,34,96.43,
2595,0,319,94.95,
2600,0,27,94.86,
2605,0,81,95.8,
2610,0,31,95.03,
2615,0,69,93.72999999999999,
2620,0,41,97.11,
2625,0,107,93.99,
2630,0,20,94.92999999999999,
2635,0,116,95.36,
2640,0,24,94.92,
2645,0,90,97.33,
2650,0,27,94.65,
2655,0,382,95.14,
2660,0,22,94.49000000000001,
2665,0,51,96.89,
2670,0,33,93.56,
2675,0,369,95.42,
2680,0,35,95.03999999999999,
2685,0,400,91.99,
2690,0,34,91.29,
2695,0,399,95.00999999999999,
2700,0,36,95.0,
2705,0,56,96.51,
2710,0,30,93.97999999999999,
2715,0,405,94.69000000000001,
2720,0,30,96.42,
2725,0,405,91.59,
2730,0,28,91.83999999999999,
2735,0,376,95.17,
2740,0,31,94.96,
2745,0,385,90.89,
2750,0,26,92.26,
2755,0,49,92.2,
2760,0,29,92.36,
2765,0,38,92.49000000000001,
2770,0,26,91.64,
2775,0,78,90.5,
2780,0,43,91.57,
2785,0,357,95.24,
2790,0,28,94.64999999999999,
2795,0,354,91.48,
2800,0,28,91.17,
2805,0,165,93.06,
2810,0,34,92.50999999999999,
2815,0,311,95.38000000000001,
2820,0,32,96.28999999999999,
2825,0,137,94.44,
2830,0,33,95.15,
2835,0,401,97.31,
2840,0,43,97.32,
2845,0,91,94.92999999999999,
2850,0,23,95.96000000000001,
2855,0,88,99.02000000000001,
2860,0,34,95.59,
2865,0,378,95.96000000000001,
2870,0,33,96.77,
2875,0,26,94.97,
2880,0,30,96.46,
2885,0,393,96.67999999999999,
2890,0,25,95.41000000000001,
2895,0,346,95.8,
2900,0,18,96.02,
2905,0,89,96.48,
2910,0,23,96.27,
